case,split,domain,initial_context,seed,mode,policy,committed,cycles,draft_cycles,rejections,proposed,accepted,target_ms,draft_ms,verify_ms,recovery_ms,total_ms,ms_per_token,simulated_tps,host_simulator_seconds,depth_0_cycles,depth_1_cycles,depth_2_cycles,depth_3_cycles,depth_4_cycles,depth_5_cycles
heldout-code-256,heldout,code,256,100,resident_seed_batch,ordinary,256,256,0,0,0,0,5222.44296410084,0.0,0.0,0.0,5222.44296410084,20.400167828518907,49.01920456762252,0.0003143750363960862,256,0,0,0,0,0
heldout-code-256,heldout,code,256,100,resident_seed_batch,default,256,153,46,34,225,103,2206.7447158363248,365.8410791247094,1345.1103990105548,91.81014307584297,4009.5063370474336,15.662134129091537,63.84825923196227,0.00044158397940918803,107,0,0,0,0,46
heldout-code-256,heldout,code,256,100,resident_seed_batch,existing_cost_gate,256,117,72,58,355,139,943.6311448301277,562.8892307956463,2101.8005880595388,155.84254499295767,3764.16350867827,14.703763705774492,68.00979803608229,0.00025645800633355975,45,0,0,0,0,72
heldout-code-256,heldout,code,256,100,resident_seed_batch,fixed_1,256,146,145,35,143,110,2965.1355550451467,577.9734899454315,2175.2353582711457,0.0,5718.344403261723,22.337282825241104,44.76820246328265,0.0001860830234363675,1,145,0,0,0,0
heldout-code-256,heldout,code,256,100,resident_seed_batch,fixed_2,256,111,111,51,222,145,2249.644217593471,551.5466415013107,1858.3811879489228,69.92223719730995,4729.494284241015,18.474587047816463,54.1284087926713,0.0001283750170841813,0,0,111,0,0,0
heldout-code-256,heldout,code,256,100,resident_seed_batch,fixed_3,256,93,92,52,276,163,20.009563646956238,550.013131631335,2402.2357661957417,142.96521955316868,3115.223681027201,12.168842504012504,82.17708460523374,0.00011054199421778321,1,0,0,92,0,0
heldout-code-256,heldout,code,256,100,resident_seed_batch,fixed_4,256,89,89,64,355,167,0.0,614.292217063698,2485.9075145375655,177.01599003229938,3277.2157216335627,12.801623912631104,78.11508968118648,0.00011312495917081833,0,0,0,1,88,0
heldout-code-256,heldout,code,256,100,resident_seed_batch,fixed_5,256,85,85,66,418,171,21.0412242462851,662.2254419426064,2489.870377728275,176.8148594016506,3349.951903318816,13.085749622339126,76.41900761213299,9.129196405410767e-05,0,0,0,1,0,84
heldout-code-256,heldout,code,256,100,resident_seed_batch,candidate,256,102,90,64,333,154,353.27602926445013,597.7407247569068,2438.727897178449,174.51134464249287,3564.2559958422994,13.922874983758982,71.82424615364994,0.00020395801402628422,12,3,2,19,61,5
heldout-code-256,heldout,code,256,101,resident_seed_batch,ordinary,256,256,0,0,0,0,5211.836479443338,0.0,0.0,0.0,5211.836479443338,20.35873624782554,49.118962386813536,0.00013354100519791245,256,0,0,0,0,0
heldout-code-256,heldout,code,256,101,resident_seed_batch,default,256,157,44,30,200,99,2404.202513842592,346.9659863267443,1179.406040967236,71.93537032967728,4002.5099114662507,15.634804341665042,63.9598665993606,0.00021000002743676305,113,0,0,0,0,44
heldout-code-256,heldout,code,256,101,resident_seed_batch,existing_cost_gate,256,129,71,55,340,127,1256.4392616426708,559.9696652485652,2035.819780352627,144.60920022088857,3996.8379074647505,15.612648076034182,64.05063350752303,0.00018708297284319997,58,0,0,0,0,71
heldout-code-256,heldout,code,256,101,resident_seed_batch,fixed_1,256,152,152,48,149,104,3082.0074515884558,604.4041072106065,2041.9298199279915,0.0,5728.341378727054,22.376333510652554,44.690073980347876,7.675000233575702e-05,0,152,0,0,0,0
heldout-code-256,heldout,code,256,101,resident_seed_batch,fixed_2,256,121,121,67,231,135,2473.248312950175,605.0097067322779,1788.1075591644344,78.83990678411116,4945.205485630998,19.317208928246085,51.76731295470828,5.94580196775496e-05,0,1,120,0,0,0
heldout-code-256,heldout,code,256,101,resident_seed_batch,fixed_3,256,105,105,69,304,151,82.97975262895748,622.0179447629876,2640.167270300724,183.26699699567345,3528.4319646883428,13.782937362063839,72.55347490386195,4.999997327104211e-05,0,1,1,103,0,0
heldout-code-256,heldout,code,256,101,resident_seed_batch,fixed_4,256,96,96,71,365,160,102.07000779728652,659.2854248532936,2567.3474246060337,185.5214514481132,3514.2243087047286,13.727438705877846,72.84680131711808,4.541600355878472e-05,0,1,1,0,94,0
heldout-code-256,heldout,code,256,101,resident_seed_batch,fixed_5,256,96,96,80,445,160,142.6320223676567,752.1957420794421,2697.6546476701765,206.56532000540804,3799.047732122682,14.840030203604227,67.38530759574384,4.499999340623617e-05,0,1,1,0,1,93
heldout-code-256,heldout,code,256,101,resident_seed_batch,candidate,256,103,91,68,361,153,434.44983042473024,657.54592056494,2434.9823807018156,172.65934822664735,3699.637479918132,14.451708905930204,69.19596889954335,0.00012495799455791712,12,2,2,25,5,57
heldout-code-256,heldout,code,256,102,resident_seed_batch,ordinary,256,256,0,0,0,0,5246.191200840045,0.0,0.0,0.0,5246.191200840045,20.492934378281426,48.79730650286022,0.00016258296091109514,256,0,0,0,0,0
heldout-code-256,heldout,code,256,102,resident_seed_batch,default,256,148,48,36,235,108,2065.7532737165484,383.91721335637936,1419.5018803376122,98.0796667974356,3967.2520342079756,15.497078258624905,64.52829257950283,0.00020783301442861557,100,0,0,0,0,48
heldout-code-256,heldout,code,256,102,resident_seed_batch,existing_cost_gate,256,124,60,47,295,132,1338.2942597871136,482.6676610732419,1801.3180029806945,129.98710447564352,3752.267028316693,14.657293079362082,68.22542160994452,0.00017854099860414863,64,0,0,0,0,60
heldout-code-256,heldout,code,256,102,resident_seed_batch,fixed_1,256,142,142,28,139,114,2916.9001609764746,572.487571138797,2271.784974374381,0.0,5761.172706489654,22.50458088472521,44.4353976251449,9.645899990573525e-05,0,142,0,0,0,0
heldout-code-256,heldout,code,256,102,resident_seed_batch,fixed_2,256,111,111,49,213,145,2295.259997537723,561.7056441340845,1868.189037182736,62.69563696220421,4787.850315816744,18.702540296159157,53.468672392346875,7.137499051168561e-05,0,1,110,0,0,0
