mode,policy,runs,speedup_vs_ordinary,speedup_vs_default,vs_default_ci_low,vs_default_ci_high,runs_slower_than_ordinary,runs_slower_than_default,worst_vs_ordinary,worst_vs_default
resident_seed_batch,candidate,240,1.1883253916371639,0.9850240147684971,0.9771930708307758,0.9925852662969186,78,109,0.9530552074338288,0.69037813205781
resident_seed_batch,default,240,1.2063923049799423,1.0,1.0,1.0,80,0,0.8562576105325516,1.0
resident_seed_batch,existing_cost_gate,240,1.1749819147925267,0.9739633699106379,0.9690809870546494,0.978833040232857,80,158,0.761767233823201,0.8514359743706188
resident_seed_batch,fixed_1,240,0.8308126795797817,0.6886753804299132,0.6839663970807479,0.6935296320746335,240,240,0.7521307693711994,0.5253531072539209
resident_seed_batch,fixed_2,240,0.9582390097391733,0.7943013278380495,0.7887821437247136,0.7997855747958924,107,240,0.7796371200555057,0.6255891204627557
resident_seed_batch,fixed_3,240,1.0916816738768893,0.9049143212953764,0.8977617204770977,0.9120763592587245,80,172,0.6154158661020066,0.6927658106384916
resident_seed_batch,fixed_4,240,1.068357262563883,0.8855803026542397,0.8775778625598943,0.893484493825619,80,169,0.5693364247666209,0.6391913715589062
resident_seed_batch,fixed_5,240,1.030448588642619,0.8541571298067517,0.8471601733781425,0.8611611203016567,80,178,0.5314971219601455,0.5967093612613598
resident_seed_batch,ordinary,240,1.0,0.8289177540937864,0.8231966289968653,0.8348346202647563,0,160,1.0,0.5824800059701092
separate_seed,candidate,240,1.093948020077204,1.0240887796070564,1.0179993873852569,1.030209791982284,79,136,0.9658757640760587,0.8166449308182534
separate_seed,default,240,1.0682160002738754,1.0,1.0,1.0,80,0,0.7684701087703416,1.0
separate_seed,existing_cost_gate,240,1.0808230527161156,1.01180196930116,1.0084724097072022,1.015003246840919,80,71,0.7919958981829321,0.8912588323481415
separate_seed,fixed_1,240,0.8308126795797817,0.7777571945812205,0.7743904935044206,0.7812553372446918,240,239,0.7521307693711994,0.62872755970428
separate_seed,fixed_2,240,0.9582390097391733,0.8970461119225834,0.8932863370298282,0.901137478435066,107,209,0.7796371200555057,0.7646723853647541
separate_seed,fixed_3,240,1.0171870661471403,0.952229760541265,0.9487186753970603,0.9557730487901291,80,205,0.7594569284495853,0.846927055941023
separate_seed,fixed_4,240,1.0373754539326856,0.9711289230518146,0.9668901010570314,0.9753669769092959,80,191,0.7304099633705834,0.8896673352903618
separate_seed,fixed_5,240,1.036684639803218,0.9704822241357802,0.9675983042140772,0.9732030326416764,80,177,0.6971334720734407,0.8635155625152086
separate_seed,ordinary,240,1.0,0.9361402560377434,0.9321177052569241,0.9402192764857876,0,160,1.0,0.710540295938309
