case,split,domain,initial_context,seed,mode,policy,committed,cycles,draft_cycles,rejections,proposed,accepted,target_ms,draft_ms,verify_ms,recovery_ms,total_ms,ms_per_token,simulated_tps,host_simulator_seconds,depth_0_cycles,depth_1_cycles,depth_2_cycles,depth_3_cycles,depth_4_cycles,depth_5_cycles
heldout-code-256,heldout,code,256,100,resident_seed_batch,ordinary,256,256,0,0,0,0,5222.44296410084,0.0,0.0,0.0,5222.44296410084,20.400167828518907,49.01920456762252,0.0008883340051397681,256,0,0,0,0,0
heldout-code-256,heldout,code,256,100,resident_seed_batch,default,256,153,46,34,225,103,2206.7447158363248,365.8410791247094,1345.1103990105548,91.81014307584297,4009.5063370474336,15.662134129091537,63.84825923196227,0.0006239590002223849,107,0,0,0,0,46
heldout-code-256,heldout,code,256,100,resident_seed_batch,existing_cost_gate,256,117,72,58,355,139,943.6311448301277,562.8892307956463,2101.8005880595388,155.84254499295767,3764.16350867827,14.703763705774492,68.00979803608229,0.0004023750079795718,45,0,0,0,0,72
heldout-code-256,heldout,code,256,100,resident_seed_batch,fixed_1,256,146,145,35,143,110,2965.1355550451467,577.9734899454315,2175.2353582711457,0.0,5718.344403261723,22.337282825241104,44.76820246328265,0.0002607090282253921,1,145,0,0,0,0
heldout-code-256,heldout,code,256,100,resident_seed_batch,fixed_2,256,111,111,51,222,145,2249.644217593471,551.5466415013107,1858.3811879489228,69.92223719730995,4729.494284241015,18.474587047816463,54.1284087926713,0.00018375000217929482,0,0,111,0,0,0
heldout-code-256,heldout,code,256,100,resident_seed_batch,fixed_3,256,93,92,52,276,163,20.009563646956238,550.013131631335,2402.2357661957417,142.96521955316868,3115.223681027201,12.168842504012504,82.17708460523374,0.00015362497651949525,1,0,0,92,0,0
heldout-code-256,heldout,code,256,100,resident_seed_batch,fixed_4,256,89,89,64,355,167,0.0,614.292217063698,2485.9075145375655,177.01599003229938,3277.2157216335627,12.801623912631104,78.11508968118648,0.00014195800758898258,0,0,0,1,88,0
heldout-code-256,heldout,code,256,100,resident_seed_batch,fixed_5,256,85,85,66,418,171,21.0412242462851,662.2254419426064,2489.870377728275,176.8148594016506,3349.951903318816,13.085749622339126,76.41900761213299,0.00013295799726620317,0,0,0,1,0,84
heldout-code-256,heldout,code,256,100,resident_seed_batch,candidate,256,102,88,54,306,154,293.5453905149584,568.8873352373936,2393.054010523768,150.66214684421595,3406.1488831203346,13.305269074688807,75.15819442557111,0.0002954580122604966,14,0,0,67,0,21
heldout-code-256,heldout,code,256,101,resident_seed_batch,ordinary,256,256,0,0,0,0,5211.836479443338,0.0,0.0,0.0,5211.836479443338,20.35873624782554,49.118962386813536,0.0001837909803725779,256,0,0,0,0,0
heldout-code-256,heldout,code,256,101,resident_seed_batch,default,256,157,44,30,200,99,2404.202513842592,346.9659863267443,1179.406040967236,71.93537032967728,4002.5099114662507,15.634804341665042,63.9598665993606,0.00030566699570044875,113,0,0,0,0,44
heldout-code-256,heldout,code,256,101,resident_seed_batch,existing_cost_gate,256,129,71,55,340,127,1256.4392616426708,559.9696652485652,2035.819780352627,144.60920022088857,3996.8379074647505,15.612648076034182,64.05063350752303,0.00027537497226148844,58,0,0,0,0,71
heldout-code-256,heldout,code,256,101,resident_seed_batch,fixed_1,256,152,152,48,149,104,3082.0074515884558,604.4041072106065,2041.9298199279915,0.0,5728.341378727054,22.376333510652554,44.690073980347876,0.00010637502418830991,0,152,0,0,0,0
heldout-code-256,heldout,code,256,101,resident_seed_batch,fixed_2,256,121,121,67,231,135,2473.248312950175,605.0097067322779,1788.1075591644344,78.83990678411116,4945.205485630998,19.317208928246085,51.76731295470828,8.295802399516106e-05,0,1,120,0,0,0
heldout-code-256,heldout,code,256,101,resident_seed_batch,fixed_3,256,105,105,69,304,151,82.97975262895748,622.0179447629876,2640.167270300724,183.26699699567345,3528.4319646883428,13.782937362063839,72.55347490386195,7.833301788195968e-05,0,1,1,103,0,0
heldout-code-256,heldout,code,256,101,resident_seed_batch,fixed_4,256,96,96,71,365,160,102.07000779728652,659.2854248532936,2567.3474246060337,185.5214514481132,3514.2243087047286,13.727438705877846,72.84680131711808,6.77499920129776e-05,0,1,1,0,94,0
heldout-code-256,heldout,code,256,101,resident_seed_batch,fixed_5,256,96,96,80,445,160,142.6320223676567,752.1957420794421,2697.6546476701765,206.56532000540804,3799.047732122682,14.840030203604227,67.38530759574384,6.679096259176731e-05,0,1,1,0,1,93
heldout-code-256,heldout,code,256,101,resident_seed_batch,candidate,256,107,94,62,308,149,313.249262010367,590.2830455418044,2445.7123236780826,165.58196744122122,3514.826598671475,13.72979140106045,72.834318511406,0.00019058299949392676,13,0,0,78,0,16
heldout-code-256,heldout,code,256,102,resident_seed_batch,ordinary,256,256,0,0,0,0,5246.191200840045,0.0,0.0,0.0,5246.191200840045,20.492934378281426,48.79730650286022,0.0003186659887433052,256,0,0,0,0,0
heldout-code-256,heldout,code,256,102,resident_seed_batch,default,256,148,48,36,235,108,2065.7532737165484,383.91721335637936,1419.5018803376122,98.0796667974356,3967.2520342079756,15.497078258624905,64.52829257950283,0.00033241603523492813,100,0,0,0,0,48
heldout-code-256,heldout,code,256,102,resident_seed_batch,existing_cost_gate,256,124,60,47,295,132,1338.2942597871136,482.6676610732419,1801.3180029806945,129.98710447564352,3752.267028316693,14.657293079362082,68.22542160994452,0.0002643750049173832,64,0,0,0,0,60
heldout-code-256,heldout,code,256,102,resident_seed_batch,fixed_1,256,142,142,28,139,114,2916.9001609764746,572.487571138797,2271.784974374381,0.0,5761.172706489654,22.50458088472521,44.4353976251449,0.0001336670247837901,0,142,0,0,0,0
heldout-code-256,heldout,code,256,102,resident_seed_batch,fixed_2,256,111,111,49,213,145,2295.259997537723,561.7056441340845,1868.189037182736,62.69563696220421,4787.850315816744,18.702540296159157,53.468672392346875,9.337504161521792e-05,0,1,110,0,0,0
heldout-code-256,heldout,code,256,102,resident_seed_batch,fixed_3,256,98,98,62,285,158,80.62269318652096,594.2070247577151,2517.403778913013,168.27229100809294,3360.5057878653397,13.126975733848983,76.17900880409324,7.933296728879213e-05,0,1,1,96,0,0
heldout-code-256,heldout,code,256,102,resident_seed_batch,fixed_4,256,92,92,70,355,164,80.62269318652096,641.9956707461572,2520.7100381086825,189.09148985732656,3432.419891898687,13.407890202729247,74.58294965724322,7.216603262349963e-05,0,1,1,0,90,0
heldout-code-256,heldout,code,256,102,resident_seed_batch,fixed_5,256,77,77,55,372,179,59.86451524774907,610.7599085566171,2279.2189933391414,149.11352466486792,3098.9569418083747,12.105300553938964,82.60844045500451,5.629198858514428e-05,0,1,1,0,1,74
heldout-code-256,heldout,code,256,102,resident_seed_batch,candidate,256,101,89,58,303,155,291.51587102802097,582.4597560668868,2388.9538838853214,158.9036782724127,3421.833189252641,13.36653589551813,74.81369951172654,0.00018462497973814607,12,0,0,68,0,21
heldout-code-256,heldout,code,256,103,resident_seed_batch,ordinary,256,256,0,0,0,0,5211.749394808138,0.0,0.0,0.0,5211.749394808138,20.35839607346929,49.11978312983029,0.00018683297093957663,256,0,0,0,0,0
heldout-code-256,heldout,code,256,103,resident_seed_batch,default,256,130,52,37,260,126,1612.9192193451734,418.14220645233564,1571.022246094754,105.55344573608966,3707.637117628353,14.482957490735753,69.04667093303736,0.0003615409950725734,78,0,0,0,0,52
heldout-code-256,heldout,code,256,103,resident_seed_batch,existing_cost_gate,256,114,61,45,305,142,1099.853186819285,486.3122974280677,1836.2908806364926,126.6232955025191,3549.0796603863637,13.863592423384233,72.13137615855346,0.0004360000020824373,53,0,0,0,0,61
heldout-code-256,heldout,code,256,103,resident_seed_batch,fixed_1,256,152,152,48,149,104,3098.25073402554,608.0072999696433,2080.7787811850676,0.0,5787.03681518025,22.605612559297853,44.23680169589975,0.00015487504424527287,0,152,0,0,0,0
heldout-code-256,heldout,code,256,103,resident_seed_batch,fixed_2,256,115,115,53,225,141,2337.167566879707,571.9433478395839,1754.307328725307,50.14037041161038,4713.5586138562085,18.412338335375814,54.31140693730843,0.00010020803892984986,0,1,114,0,0,0
heldout-code-256,heldout,code,256,103,resident_seed_batch,fixed_3,256,97,97,58,285,159,58.93750812718585,574.9367073955726,2465.3200004260943,155.6556981650486,3254.849914113904,12.714257477007438,78.6518600719238,7.958302740007639e-05,0,1,1,95,0,0
heldout-code-256,heldout,code,256,103,resident_seed_batch,fixed_4,256,89,89,65,342,167,80.46559850509263,614.2278303810433,2411.452931694385,172.38619546384902,3278.53255604437,12.80676779704832,78.083714474036,7.104204269126058e-05,0,1,1,1,86,0
heldout-code-256,heldout,code,256,103,resident_seed_batch,fixed_5,256,83,83,64,408,173,41.523242056159816,653.7646813068142,2470.35656284114,176.54599567967622,3342.19048188379,13.055431569858555,76.59647210044962,6.0041958931833506e-05,0,1,1,0,0,81
heldout-code-256,heldout,code,256,103,resident_seed_batch,candidate,256,92,78,60,377,164,312.52180300508405,613.3866623965831,2311.054053964699,165.02223638090024,3401.9847557472663,13.289002952137759,75.25019022131629,0.0001652080100029707,14,0,0,4,0,74
heldout-code-256,heldout,code,256,104,resident_seed_batch,ordinary,256,256,0,0,0,0,5199.8777533971725,0.0,0.0,0.0,5199.8777533971725,20.312022474207705,49.231926622265426,0.00019179197261109948,256,0,0,0,0,0
