ds4: Metal device Apple M5 Max, 64.00 GiB RAM
ds4: Metal 4 tensor API enabled for Tensor kernels
ds4: drift-patch flags hc_stable=on norm_unify=on kv_raw_f32=off rope_exp2_log2=off math_safe=off tensor_matmul=on
ds4: Metal model views created in 0.016 ms, residency requested in 0.053 ms, warmup 0.405 ms (mapped 1.06 MiB from offset 0.00 MiB)
ds4: Metal mapped mmaped model as 1 overlapping shared buffers
dimension,rows,repeat,mode,iterations,total_ms,ms_per_cycle,stage0_ms,stage1_ms,stage2_ms
1024,1,0,outer_timer,100,32.526000,0.325260,0.000000,0.000000,0.000000
1024,1,0,enqueue_timers,100,19.656000,0.196560,0.003840,0.000910,0.000770
1024,1,0,stage_sync_timers,100,50.759000,0.507590,0.166060,0.172200,0.169220
1024,1,1,stage_sync_timers,100,49.712000,0.497120,0.166740,0.164280,0.165960
1024,1,1,enqueue_timers,100,19.133000,0.191330,0.004890,0.001060,0.000910
1024,1,1,outer_timer,100,19.332000,0.193320,0.000000,0.000000,0.000000
1024,1,2,outer_timer,100,21.531000,0.215310,0.000000,0.000000,0.000000
1024,1,2,enqueue_timers,100,22.263000,0.222630,0.009180,0.001330,0.001010
1024,1,2,stage_sync_timers,100,55.556000,0.555560,0.184880,0.189270,0.181200
1024,1,3,stage_sync_timers,100,53.271000,0.532710,0.179040,0.178640,0.174920
1024,1,3,enqueue_timers,100,21.050000,0.210500,0.007750,0.001490,0.000910
1024,1,3,outer_timer,100,19.916000,0.199160,0.000000,0.000000,0.000000
1024,1,4,outer_timer,100,18.857000,0.188570,0.000000,0.000000,0.000000
1024,1,4,enqueue_timers,100,18.917000,0.189170,0.003460,0.000810,0.000830
1024,1,4,stage_sync_timers,100,47.401000,0.474010,0.159160,0.160680,0.154070
1024,1,5,stage_sync_timers,100,48.227000,0.482270,0.160160,0.166900,0.155120
1024,1,5,enqueue_timers,100,18.575000,0.185750,0.003550,0.001010,0.000790
1024,1,5,outer_timer,100,18.636000,0.186360,0.000000,0.000000,0.000000
1024,1,6,outer_timer,100,17.696000,0.176960,0.000000,0.000000,0.000000
1024,1,6,enqueue_timers,100,18.474000,0.184740,0.003580,0.000940,0.000770
1024,1,6,stage_sync_timers,100,47.452000,0.474520,0.159290,0.156540,0.158550
1024,1,7,stage_sync_timers,100,48.563000,0.485630,0.161240,0.161140,0.163190
1024,1,7,enqueue_timers,100,18.358000,0.183580,0.003680,0.000930,0.000910
1024,1,7,outer_timer,100,19.038000,0.190380,0.000000,0.000000,0.000000
1024,2,0,outer_timer,100,18.856000,0.188560,0.000000,0.000000,0.000000
1024,2,0,enqueue_timers,100,19.447000,0.194470,0.003690,0.001020,0.000950
1024,2,0,stage_sync_timers,100,47.913000,0.479130,0.160300,0.159100,0.159620
1024,2,1,stage_sync_timers,100,47.651000,0.476510,0.164280,0.155510,0.156680
1024,2,1,enqueue_timers,100,19.482000,0.194820,0.003840,0.001010,0.000980
1024,2,1,outer_timer,100,19.867000,0.198670,0.000000,0.000000,0.000000
1024,2,2,outer_timer,100,18.696000,0.186960,0.000000,0.000000,0.000000
1024,2,2,enqueue_timers,100,18.865000,0.188650,0.003510,0.001000,0.000860
1024,2,2,stage_sync_timers,100,50.326000,0.503260,0.173850,0.168300,0.161050
1024,2,3,stage_sync_timers,100,48.936000,0.489360,0.168130,0.169500,0.151590
1024,2,3,enqueue_timers,100,16.919000,0.169190,0.003510,0.001000,0.000970
1024,2,3,outer_timer,100,17.143000,0.171430,0.000000,0.000000,0.000000
1024,2,4,outer_timer,100,16.264000,0.162640,0.000000,0.000000,0.000000
1024,2,4,enqueue_timers,100,17.263000,0.172630,0.003550,0.000990,0.000940
1024,2,4,stage_sync_timers,100,47.421000,0.474210,0.158700,0.155980,0.159480
1024,2,5,stage_sync_timers,100,47.893000,0.478930,0.159010,0.155320,0.164560
1024,2,5,enqueue_timers,100,16.628000,0.166280,0.003750,0.001400,0.000930
1024,2,5,outer_timer,100,17.296000,0.172960,0.000000,0.000000,0.000000
1024,2,6,outer_timer,100,16.328000,0.163280,0.000000,0.000000,0.000000
1024,2,6,enqueue_timers,100,16.728000,0.167280,0.004440,0.001060,0.000910
1024,2,6,stage_sync_timers,100,47.150000,0.471500,0.157840,0.151240,0.162350
1024,2,7,stage_sync_timers,100,47.570000,0.475700,0.154540,0.158980,0.162080
1024,2,7,enqueue_timers,100,16.729000,0.167290,0.003710,0.001110,0.000940
1024,2,7,outer_timer,100,16.881000,0.168810,0.000000,0.000000,0.000000
1024,3,0,outer_timer,100,18.314000,0.183140,0.000000,0.000000,0.000000
1024,3,0,enqueue_timers,100,17.126000,0.171260,0.003610,0.001010,0.000960
1024,3,0,stage_sync_timers,100,46.382000,0.463820,0.151980,0.158020,0.153710
1024,3,1,stage_sync_timers,100,46.300000,0.463000,0.152640,0.152140,0.158150
1024,3,1,enqueue_timers,100,17.882000,0.178820,0.003540,0.001000,0.000950
1024,3,1,outer_timer,100,19.004000,0.190040,0.000000,0.000000,0.000000
1024,3,2,outer_timer,100,19.189000,0.191890,0.000000,0.000000,0.000000
1024,3,2,enqueue_timers,100,19.336000,0.193360,0.003520,0.000970,0.000940
1024,3,2,stage_sync_timers,100,58.458000,0.584580,0.196190,0.203230,0.185050
1024,3,3,stage_sync_timers,100,51.771000,0.517710,0.161930,0.176940,0.178720
1024,3,3,enqueue_timers,100,20.657000,0.206570,0.003720,0.001050,0.000980
1024,3,3,outer_timer,100,19.731000,0.197310,0.000000,0.000000,0.000000
1024,3,4,outer_timer,100,18.413000,0.184130,0.000000,0.000000,0.000000
1024,3,4,enqueue_timers,100,17.607000,0.176070,0.003850,0.001020,0.001000
1024,3,4,stage_sync_timers,100,47.706000,0.477060,0.157840,0.160420,0.158700
1024,3,5,stage_sync_timers,100,47.342000,0.473420,0.160760,0.154410,0.158100
1024,3,5,enqueue_timers,100,17.447000,0.174470,0.003750,0.001130,0.000930
1024,3,5,outer_timer,100,17.583000,0.175830,0.000000,0.000000,0.000000
1024,3,6,outer_timer,100,16.871000,0.168710,0.000000,0.000000,0.000000
1024,3,6,enqueue_timers,100,16.671000,0.166710,0.003790,0.001030,0.000960
1024,3,6,stage_sync_timers,100,47.751000,0.477510,0.158580,0.158740,0.160080
1024,3,7,stage_sync_timers,100,47.471000,0.474710,0.160530,0.154420,0.159660
1024,3,7,enqueue_timers,100,17.799000,0.177990,0.003870,0.001060,0.000950
1024,3,7,outer_timer,100,17.675000,0.176750,0.000000,0.000000,0.000000
1024,4,0,outer_timer,100,17.870000,0.178700,0.000000,0.000000,0.000000
1024,4,0,enqueue_timers,100,18.380000,0.183800,0.003850,0.001000,0.000930
1024,4,0,stage_sync_timers,100,48.301000,0.483010,0.155860,0.164150,0.162940
1024,4,1,stage_sync_timers,100,50.202000,0.502020,0.165060,0.172680,0.164240
1024,4,1,enqueue_timers,100,19.873000,0.198730,0.003720,0.001000,0.000910
1024,4,1,outer_timer,100,21.463000,0.214630,0.000000,0.000000,0.000000
1024,4,2,outer_timer,100,22.898000,0.228980,0.000000,0.000000,0.000000
1024,4,2,enqueue_timers,100,32.670000,0.326700,0.003800,0.001040,0.000920
1024,4,2,stage_sync_timers,100,52.393000,0.523930,0.170880,0.169330,0.183650
1024,4,3,stage_sync_timers,100,49.866000,0.498660,0.163860,0.170840,0.163870
1024,4,3,enqueue_timers,100,19.462000,0.194620,0.004150,0.001150,0.001070
1024,4,3,outer_timer,100,20.014000,0.200140,0.000000,0.000000,0.000000
1024,4,4,outer_timer,100,20.092000,0.200920,0.000000,0.000000,0.000000
1024,4,4,enqueue_timers,100,19.732000,0.197320,0.004610,0.001080,0.001050
1024,4,4,stage_sync_timers,100,49.040000,0.490400,0.158810,0.158520,0.173000
1024,4,5,stage_sync_timers,100,50.051000,0.500510,0.166090,0.167660,0.166710
1024,4,5,enqueue_timers,100,20.350000,0.203500,0.004280,0.001110,0.000980
1024,4,5,outer_timer,100,20.297000,0.202970,0.000000,0.000000,0.000000
1024,4,6,outer_timer,100,19.705000,0.197050,0.000000,0.000000,0.000000
1024,4,6,enqueue_timers,100,20.327000,0.203270,0.004450,0.001240,0.001020
1024,4,6,stage_sync_timers,100,48.095000,0.480950,0.161700,0.161040,0.158080
1024,4,7,stage_sync_timers,100,48.910000,0.489100,0.167650,0.164690,0.156690
1024,4,7,enqueue_timers,100,20.624000,0.206240,0.004180,0.001100,0.001120
1024,4,7,outer_timer,100,19.802000,0.198020,0.000000,0.000000,0.000000
1024,5,0,outer_timer,100,21.226000,0.212260,0.000000,0.000000,0.000000
1024,5,0,enqueue_timers,100,20.236000,0.202360,0.004120,0.001050,0.000890
1024,5,0,stage_sync_timers,100,52.564000,0.525640,0.165810,0.175010,0.184730
1024,5,1,stage_sync_timers,100,61.456000,0.614560,0.200760,0.207370,0.206330
1024,5,1,enqueue_timers,100,29.227000,0.292270,0.005000,0.001280,0.000960
1024,5,1,outer_timer,100,20.710000,0.207100,0.000000,0.000000,0.000000
1024,5,2,outer_timer,100,19.797000,0.197970,0.000000,0.000000,0.000000
1024,5,2,enqueue_timers,100,23.140000,0.231400,0.009870,0.001840,0.001230
1024,5,2,stage_sync_timers,100,50.780000,0.507800,0.176690,0.168310,0.162700
1024,5,3,stage_sync_timers,100,50.324000,0.503240,0.168420,0.161100,0.173660
1024,5,3,enqueue_timers,100,20.149000,0.201490,0.003780,0.001070,0.000910
1024,5,3,outer_timer,100,20.509000,0.205090,0.000000,0.000000,0.000000
1024,5,4,outer_timer,100,20.909000,0.209090,0.000000,0.000000,0.000000
1024,5,4,enqueue_timers,100,20.942000,0.209420,0.003560,0.000990,0.000960
1024,5,4,stage_sync_timers,100,51.514000,0.515140,0.176790,0.168220,0.170080
1024,5,5,stage_sync_timers,100,50.167000,0.501670,0.166820,0.168830,0.165930
1024,5,5,enqueue_timers,100,21.189000,0.211890,0.005550,0.001100,0.000910
1024,5,5,outer_timer,100,20.893000,0.208930,0.000000,0.000000,0.000000
1024,5,6,outer_timer,100,21.462000,0.214620,0.000000,0.000000,0.000000
1024,5,6,enqueue_timers,100,20.284000,0.202840,0.003580,0.001010,0.000980
1024,5,6,stage_sync_timers,100,50.123000,0.501230,0.166950,0.169880,0.164310
1024,5,7,stage_sync_timers,100,52.995000,0.529950,0.172250,0.177480,0.180160
1024,5,7,enqueue_timers,100,21.565000,0.215650,0.003590,0.001020,0.000950
1024,5,7,outer_timer,100,21.461000,0.214610,0.000000,0.000000,0.000000
1024,6,0,outer_timer,100,21.830000,0.218300,0.000000,0.000000,0.000000
1024,6,0,enqueue_timers,100,20.184000,0.201840,0.004100,0.001060,0.000920
1024,6,0,stage_sync_timers,100,51.691000,0.516910,0.172530,0.175860,0.168480
1024,6,1,stage_sync_timers,100,55.324000,0.553240,0.189930,0.185840,0.177400
1024,6,1,enqueue_timers,100,30.204000,0.302040,0.003750,0.001030,0.001000
1024,6,1,outer_timer,100,34.506000,0.345060,0.000000,0.000000,0.000000
1024,6,2,outer_timer,100,21.746000,0.217460,0.000000,0.000000,0.000000
1024,6,2,enqueue_timers,100,20.827000,0.208270,0.003540,0.000980,0.000960
1024,6,2,stage_sync_timers,100,50.761000,0.507610,0.168710,0.169280,0.169470
1024,6,3,stage_sync_timers,100,51.198000,0.511980,0.166540,0.178570,0.166810
1024,6,3,enqueue_timers,100,20.317000,0.203170,0.003620,0.001040,0.000980
1024,6,3,outer_timer,100,20.957000,0.209570,0.000000,0.000000,0.000000
1024,6,4,outer_timer,100,19.747000,0.197470,0.000000,0.000000,0.000000
1024,6,4,enqueue_timers,100,20.084000,0.200840,0.003600,0.001030,0.000940
1024,6,4,stage_sync_timers,100,48.825000,0.488250,0.164860,0.162410,0.160890
1024,6,5,stage_sync_timers,100,49.059000,0.490590,0.169740,0.158120,0.162660
1024,6,5,enqueue_timers,100,20.697000,0.206970,0.003610,0.001090,0.000910
1024,6,5,outer_timer,100,19.499000,0.194990,0.000000,0.000000,0.000000
1024,6,6,outer_timer,100,19.830000,0.198300,0.000000,0.000000,0.000000
1024,6,6,enqueue_timers,100,20.521000,0.205210,0.003840,0.001090,0.000960
1024,6,6,stage_sync_timers,100,48.926000,0.489260,0.161210,0.157120,0.170820
1024,6,7,stage_sync_timers,100,48.622000,0.486220,0.163610,0.167410,0.155100
1024,6,7,enqueue_timers,100,20.346000,0.203460,0.003660,0.001040,0.001000
1024,6,7,outer_timer,100,20.353000,0.203530,0.000000,0.000000,0.000000
ds4: Metal device Apple M5 Max, 64.00 GiB RAM
ds4: Metal 4 tensor API enabled for Tensor kernels
ds4: drift-patch flags hc_stable=on norm_unify=on kv_raw_f32=off rope_exp2_log2=off math_safe=off tensor_matmul=on
ds4: Metal model views created in 0.018 ms, residency requested in 0.202 ms, warmup 0.215 ms (mapped 17.00 MiB from offset 0.00 MiB)
ds4: Metal mapped mmaped model as 1 overlapping shared buffers
4096,1,0,outer_timer,100,29.760000,0.297600,0.000000,0.000000,0.000000
4096,1,0,enqueue_timers,100,27.983000,0.279830,0.003720,0.000820,0.000870
4096,1,0,stage_sync_timers,100,63.533000,0.635330,0.211010,0.206700,0.217580
4096,1,1,stage_sync_timers,100,74.201000,0.742010,0.238500,0.254140,0.249330
4096,1,1,enqueue_timers,100,45.161000,0.451610,0.004660,0.001000,0.000770
4096,1,1,outer_timer,100,40.887000,0.408870,0.000000,0.000000,0.000000
4096,1,2,outer_timer,100,40.300000,0.403000,0.000000,0.000000,0.000000
4096,1,2,enqueue_timers,100,41.109000,0.411090,0.003850,0.000900,0.000890
4096,1,2,stage_sync_timers,100,78.681000,0.786810,0.262730,0.264000,0.260010
4096,1,3,stage_sync_timers,100,84.555000,0.845550,0.282630,0.277940,0.284860
4096,1,3,enqueue_timers,100,45.202000,0.452020,0.003800,0.001240,0.000940
4096,1,3,outer_timer,100,43.348000,0.433480,0.000000,0.000000,0.000000
4096,1,4,outer_timer,100,42.855000,0.428550,0.000000,0.000000,0.000000
4096,1,4,enqueue_timers,100,45.440000,0.454400,0.003690,0.000790,0.000810
4096,1,4,stage_sync_timers,100,82.220000,0.822200,0.271700,0.276670,0.273750
4096,1,5,stage_sync_timers,100,85.051000,0.850510,0.281460,0.282960,0.285990
4096,1,5,enqueue_timers,100,45.476000,0.454760,0.004810,0.001050,0.000840
4096,1,5,outer_timer,100,45.269000,0.452690,0.000000,0.000000,0.000000
4096,1,6,outer_timer,100,43.115000,0.431150,0.000000,0.000000,0.000000
4096,1,6,enqueue_timers,100,41.023000,0.410230,0.003350,0.000870,0.000790
4096,1,6,stage_sync_timers,100,82.229000,0.822290,0.269980,0.277970,0.274260
4096,1,7,stage_sync_timers,100,83.519000,0.835190,0.276780,0.293510,0.264870
4096,1,7,enqueue_timers,100,42.689000,0.426890,0.003470,0.000920,0.000840
4096,1,7,outer_timer,100,41.976000,0.419760,0.000000,0.000000,0.000000
4096,2,0,outer_timer,100,43.163000,0.431630,0.000000,0.000000,0.000000
4096,2,0,enqueue_timers,100,40.294000,0.402940,0.003710,0.001020,0.000940
4096,2,0,stage_sync_timers,100,75.619000,0.756190,0.258220,0.249510,0.248370
4096,2,1,stage_sync_timers,100,73.911000,0.739110,0.246100,0.239340,0.253550
4096,2,1,enqueue_timers,100,39.969000,0.399690,0.003930,0.001110,0.001010
4096,2,1,outer_timer,100,40.549000,0.405490,0.000000,0.000000,0.000000
4096,2,2,outer_timer,100,42.053000,0.420530,0.000000,0.000000,0.000000
4096,2,2,enqueue_timers,100,40.284000,0.402840,0.004530,0.001120,0.001000
4096,2,2,stage_sync_timers,100,74.923000,0.749230,0.247250,0.248070,0.253820
4096,2,3,stage_sync_timers,100,73.525000,0.735250,0.235180,0.246900,0.253090
4096,2,3,enqueue_timers,100,41.767000,0.417670,0.003760,0.001080,0.000980
4096,2,3,outer_timer,100,41.657000,0.416570,0.000000,0.000000,0.000000
4096,2,4,outer_timer,100,41.370000,0.413700,0.000000,0.000000,0.000000
4096,2,4,enqueue_timers,100,37.904000,0.379040,0.004170,0.001120,0.000970
4096,2,4,stage_sync_timers,100,71.490000,0.714900,0.241430,0.234850,0.238530
4096,2,5,stage_sync_timers,100,72.466000,0.724660,0.226860,0.244500,0.253200
4096,2,5,enqueue_timers,100,37.332000,0.373320,0.004180,0.001120,0.001110
4096,2,5,outer_timer,100,38.076000,0.380760,0.000000,0.000000,0.000000
4096,2,6,outer_timer,100,37.928000,0.379280,0.000000,0.000000,0.000000
4096,2,6,enqueue_timers,100,39.898000,0.398980,0.006220,0.002100,0.001020
4096,2,6,stage_sync_timers,100,74.074000,0.740740,0.254790,0.235920,0.249930
4096,2,7,stage_sync_timers,100,76.107000,0.761070,0.254750,0.249680,0.256590
4096,2,7,enqueue_timers,100,48.589000,0.485890,0.004210,0.001140,0.001020
4096,2,7,outer_timer,100,48.181000,0.481810,0.000000,0.000000,0.000000
4096,3,0,outer_timer,100,42.273000,0.422730,0.000000,0.000000,0.000000
4096,3,0,enqueue_timers,100,39.404000,0.394040,0.003750,0.001020,0.000940
4096,3,0,stage_sync_timers,100,70.747000,0.707470,0.236170,0.234560,0.236640
4096,3,1,stage_sync_timers,100,72.073000,0.720730,0.242610,0.239480,0.238530
4096,3,1,enqueue_timers,100,38.412000,0.384120,0.004120,0.001150,0.000950
4096,3,1,outer_timer,100,38.849000,0.388490,0.000000,0.000000,0.000000
4096,3,2,outer_timer,100,38.744000,0.387440,0.000000,0.000000,0.000000
4096,3,2,enqueue_timers,100,37.454000,0.374540,0.004140,0.001130,0.000940
4096,3,2,stage_sync_timers,100,71.655000,0.716550,0.232090,0.246170,0.238200
