repeat,domain,ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,gen_first_ms,gen_steady_tokens,gen_steady_tps,kvcache_bytes
1,code,256,256,59.00,256,10.75,156.755,255,10.78,27519372
1,code,2048,1792,55.07,256,9.58,165.082,255,9.60,0
1,prose,256,256,52.06,256,10.08,172.583,255,10.11,27519372
1,prose,2048,1792,56.63,256,10.08,137.954,255,10.10,0
1,structured,256,256,54.82,256,10.53,163.215,255,10.56,27519372
1,structured,2048,1792,50.09,256,9.11,138.609,255,9.12,0
2,code,256,256,49.30,256,9.31,174.190,255,9.33,27519372
2,code,2048,1792,48.71,256,7.94,145.214,255,7.94,0
2,prose,256,256,46.03,256,8.99,179.384,255,9.01,27519372
2,prose,2048,1792,49.05,256,9.44,133.501,255,9.45,0
2,structured,256,256,50.95,256,9.63,167.627,255,9.65,27519372
2,structured,2048,1792,46.84,256,8.53,146.642,255,8.54,0
3,code,256,256,51.31,256,9.66,183.108,255,9.70,27519372
3,code,2048,1792,48.80,256,9.08,151.337,255,9.09,0
3,prose,256,256,48.82,256,9.31,172.988,255,9.33,27519372
3,prose,2048,1792,50.36,256,8.79,139.228,255,8.80,0
3,structured,256,256,49.21,256,9.55,168.621,255,9.57,27519372
3,structured,2048,1792,48.57,256,8.97,134.378,255,8.98,0
