repeat,variant,iterations,total_ns,ns_per_cycle,checksum
0,loop,1000000,861000,0.861,437500.000
0,two_timers,1000000,37506000,37.506,18838000.000
0,policy,1000000,4845000,4.845,11032232.000
0,policy_two_timers,1000000,40445000,40.445,31184232.000
1,policy_two_timers,1000000,37754000,37.754,29924232.000
1,policy,1000000,4086000,4.086,11032232.000
1,two_timers,1000000,37336000,37.336,18521000.000
1,loop,1000000,925000,0.925,437500.000
2,loop,1000000,975000,0.975,437500.000
2,two_timers,1000000,38467000,38.467,19179000.000
2,policy,1000000,7943000,7.943,11032232.000
2,policy_two_timers,1000000,38145000,38.145,30128232.000
3,policy_two_timers,1000000,40643000,40.643,31490232.000
3,policy,1000000,4444000,4.444,11032232.000
3,two_timers,1000000,38819000,38.819,19071000.000
3,loop,1000000,998000,0.998,437500.000
4,loop,1000000,1028000,1.028,437500.000
4,two_timers,1000000,38860000,38.860,19801000.000
4,policy,1000000,5442000,5.442,11032232.000
4,policy_two_timers,1000000,37004000,37.004,29485232.000
5,policy_two_timers,1000000,40019000,40.019,31054232.000
5,policy,1000000,4082000,4.082,11032232.000
5,two_timers,1000000,37116000,37.116,18499000.000
5,loop,1000000,911000,0.911,437500.000
6,loop,1000000,936000,0.936,437500.000
6,two_timers,1000000,38864000,38.864,19409000.000
6,policy,1000000,5987000,5.987,11032232.000
6,policy_two_timers,1000000,43032000,43.032,32608232.000
7,policy_two_timers,1000000,41012000,41.012,31773232.000
7,policy,1000000,5367000,5.367,11032232.000
7,two_timers,1000000,40248000,40.248,20205000.000
7,loop,1000000,1031000,1.031,437500.000
8,loop,1000000,1018000,1.018,437500.000
8,two_timers,1000000,38403000,38.403,19013000.000
8,policy,1000000,3828000,3.828,11032232.000
8,policy_two_timers,1000000,38300000,38.300,30427232.000
9,policy_two_timers,1000000,38315000,38.315,30380232.000
9,policy,1000000,5587000,5.587,11032232.000
9,two_timers,1000000,36285000,36.285,18075000.000
9,loop,1000000,906000,0.906,437500.000
10,loop,1000000,922000,0.922,437500.000
10,two_timers,1000000,36429000,36.429,18265000.000
10,policy,1000000,10709000,10.709,11032232.000
10,policy_two_timers,1000000,38165000,38.165,30427232.000
11,policy_two_timers,1000000,37305000,37.305,29824232.000
11,policy,1000000,5952000,5.952,11032232.000
11,two_timers,1000000,39294000,39.294,19700000.000
11,loop,1000000,971000,0.971,437500.000
