case,split,domain,initial_context,seed,mode,policy,committed,cycles,draft_cycles,rejections,proposed,accepted,target_ms,draft_ms,verify_ms,recovery_ms,total_ms,ms_per_token,simulated_tps,host_simulator_seconds,depth_0_cycles,depth_1_cycles,depth_2_cycles,depth_3_cycles,depth_4_cycles,depth_5_cycles,stress
abrupt_collapse-heldout-code-256,heldout,code,256,200,resident_seed_batch,ordinary,256,256,0,0,0,0,5221.045338244171,0.0,0.0,0.0,5221.045338244171,20.394708352516293,49.03232655820843,0.0001051250146701932,256,0,0,0,0,0,abrupt_collapse
abrupt_collapse-heldout-code-256,heldout,code,256,200,resident_seed_batch,default,256,150,40,20,195,106,2278.7437328748942,316.2184286935395,1165.2985250249,53.50683501920667,3813.767521612541,14.897529381298988,67.12522421706446,0.00017504201969131827,110,0,0,0,0,40,abrupt_collapse
abrupt_collapse-heldout-code-256,heldout,code,256,200,resident_seed_batch,existing_cost_gate,256,150,40,20,195,106,2283.1765304754763,314.89568727389405,1156.6941433378834,53.04387552233076,3807.8102366095836,14.874258736756186,67.2302410290116,0.00017129204934462905,110,0,0,0,0,40,abrupt_collapse
abrupt_collapse-heldout-code-256,heldout,code,256,200,resident_seed_batch,fixed_1,256,188,187,119,182,68,3830.594500660307,746.2235595920523,1308.9302261797645,0.0,5885.748286432123,22.99120424387548,43.49489436884914,8.20419518277049e-05,1,187,0,0,0,0,abrupt_collapse
abrupt_collapse-heldout-code-256,heldout,code,256,200,resident_seed_batch,fixed_2,256,164,163,120,319,92,3359.087021426331,815.1635742280334,1057.1753170126528,18.292877691932855,5249.718790358948,20.506714024839642,48.76451677185857,7.404101779684424e-05,1,1,162,0,0,0,abrupt_collapse
abrupt_collapse-heldout-code-256,heldout,code,256,200,resident_seed_batch,fixed_3,256,155,154,123,444,101,162.5928560295167,921.4573968215133,3882.2414653018354,325.80294248551354,5292.0946606383795,20.67224476811867,48.37404022722432,7.287500193342566e-05,1,1,1,152,0,0,abrupt_collapse
abrupt_collapse-heldout-code-256,heldout,code,256,200,resident_seed_batch,fixed_4,256,146,145,120,562,110,120.90824186893198,1009.2269283972886,3997.525965314943,322.98443848439564,5450.6455740655565,21.29158427369358,46.96691364745137,6.687501445412636e-05,1,1,1,1,142,0,abrupt_collapse
abrupt_collapse-heldout-code-256,heldout,code,256,200,resident_seed_batch,fixed_5,256,142,141,120,670,114,156.99393675350228,1115.0411239479824,4105.468490072844,317.56136674846493,5695.064917522794,22.246347334073413,44.9511996276512,6.400002166628838e-05,1,1,1,1,1,137,abrupt_collapse
abrupt_collapse-heldout-code-256,heldout,code,256,200,resident_seed_batch,h1,256,154,74,48,267,102,1866.986958904524,499.743775009453,1884.8842902584834,118.98026348036939,4370.59528765283,17.072637842393867,58.573256765094214,0.00022254098439589143,80,3,6,11,42,12,abrupt_collapse
abrupt_collapse-heldout-code-256,heldout,code,256,200,resident_seed_batch,h2,256,145,59,39,263,111,1803.3486738907727,453.9029268284989,1697.689288354437,104.53136557564879,4059.4722546493576,15.857313494724053,63.062384453250154,0.0003437920240685344,86,0,0,12,0,47,abrupt_collapse
