case,split,domain,initial_context,seed,mode,policy,committed,cycles,draft_cycles,rejections,proposed,accepted,target_ms,draft_ms,verify_ms,recovery_ms,total_ms,ms_per_token,simulated_tps,host_simulator_seconds,depth_0_cycles,depth_1_cycles,depth_2_cycles,depth_3_cycles,depth_4_cycles,depth_5_cycles,stress
abrupt_recovery-heldout-code-256,heldout,code,256,200,resident_seed_batch,ordinary,256,256,0,0,0,0,5255.927879640904,0.0,0.0,0.0,5255.927879640904,20.530968279847283,48.70690882034904,0.00012695800978690386,256,0,0,0,0,0,abrupt_recovery
abrupt_recovery-heldout-code-256,heldout,code,256,200,resident_seed_batch,default,256,166,34,16,170,90,2690.9536361050064,272.8430066640775,1033.24474420814,43.902236378435774,4040.9436233556585,15.784936028733041,63.35153960584431,0.0001954999752342701,132,0,0,0,0,34,abrupt_recovery
abrupt_recovery-heldout-code-256,heldout,code,256,200,resident_seed_batch,existing_cost_gate,256,166,34,16,170,90,2690.9536361050064,272.8430066640775,1033.24474420814,43.902236378435774,4040.9436233556585,15.784936028733041,63.35153960584431,0.00021179200848564506,132,0,0,0,0,34,abrupt_recovery
abrupt_recovery-heldout-code-256,heldout,code,256,200,resident_seed_batch,fixed_1,256,188,188,120,181,68,3842.553144668716,756.5176840094906,1372.6944712997738,0.0,5971.765299977981,23.32720820303899,42.86839605048509,9.445799514651299e-05,0,188,0,0,0,0,abrupt_recovery
abrupt_recovery-heldout-code-256,heldout,code,256,200,resident_seed_batch,fixed_2,256,165,165,123,320,91,3368.9510205900747,830.3529131258542,1091.9465988067623,19.489785599803696,5310.740318122495,20.745079367665998,48.204202176186165,7.816700963303447e-05,0,0,165,0,0,0,abrupt_recovery
abrupt_recovery-heldout-code-256,heldout,code,256,200,resident_seed_batch,fixed_3,256,154,154,123,447,102,106.71992363347093,931.2107996456862,3864.8667309867874,332.2201353347127,5235.017589600657,20.449287459377565,48.90145937781433,7.083400851115584e-05,0,0,0,154,0,0,abrupt_recovery
abrupt_recovery-heldout-code-256,heldout,code,256,200,resident_seed_batch,fixed_4,256,150,150,127,582,106,105.63441523290528,1060.3626234472406,4099.8078232592325,347.00286273811423,5612.807724677491,21.92503017452145,45.609971436302786,6.804201984778047e-05,0,0,1,0,149,0,abrupt_recovery
abrupt_recovery-heldout-code-256,heldout,code,256,200,resident_seed_batch,fixed_5,256,143,143,122,693,113,84.61175124009713,1151.60680486224,4172.614721659184,332.4607098579584,5741.293987619482,22.426929639138603,44.58925123013,6.562500493600965e-05,0,0,0,1,0,142,abrupt_recovery
abrupt_recovery-heldout-code-256,heldout,code,256,200,resident_seed_batch,h1,256,166,36,15,127,90,2760.5818042064375,250.05197858280613,923.4178428185674,29.87853092244539,3963.930156530256,15.484102173946313,64.58236898504899,0.00017570803174749017,130,3,2,2,27,2,abrupt_recovery
abrupt_recovery-heldout-code-256,heldout,code,256,200,resident_seed_batch,h2,256,156,26,6,122,100,2641.3818795319353,204.6471180630947,795.7196392170334,16.601928365276905,3658.3505651773394,14.290431895223982,69.97689134463535,0.00015862495638430119,130,0,0,4,0,22,abrupt_recovery
abrupt_recovery-heldout-code-256,heldout,code,256,201,resident_seed_batch,ordinary,256,256,0,0,0,0,5230.729901522073,0.0,0.0,0.0,5230.729901522073,20.4325386778206,48.94154445357758,0.00011462497059255838,256,0,0,0,0,0,abrupt_recovery
abrupt_recovery-heldout-code-256,heldout,code,256,201,resident_seed_batch,default,256,168,35,18,175,88,2692.9468450369995,279.92542718164896,1060.3410293426482,50.313144993005125,4083.526446554303,15.951275181852747,62.690912707572615,0.00019987497944384813,133,0,0,0,0,35,abrupt_recovery
