case,split,domain,initial_context,seed,mode,policy,committed,cycles,draft_cycles,rejections,proposed,accepted,target_ms,draft_ms,verify_ms,recovery_ms,total_ms,ms_per_token,simulated_tps,host_simulator_seconds,depth_0_cycles,depth_1_cycles,depth_2_cycles,depth_3_cycles,depth_4_cycles,depth_5_cycles,stress
context_boundary-heldout-code-256,heldout,code,960,200,resident_seed_batch,ordinary,256,256,0,0,0,0,5744.870474064433,0.0,0.0,0.0,5744.870474064433,22.440900289314193,44.561492057258306,0.00015583302592858672,256,0,0,0,0,0,context_boundary
context_boundary-heldout-code-256,heldout,code,960,200,resident_seed_batch,default,256,149,45,33,225,107,2359.6018897086024,354.9444845163734,1644.3248790215687,91.58418944616989,4450.45544269271,17.384591573018398,57.52220268160002,0.00017987500177696347,104,0,0,0,0,45,context_boundary
context_boundary-heldout-code-256,heldout,code,960,200,resident_seed_batch,existing_cost_gate,256,139,61,49,295,117,1784.7085399261234,491.5028971156744,2217.6872516138164,133.31396755615168,4627.212656211765,18.075049438327206,55.324883254789434,0.00017224997282028198,78,0,0,0,0,61,context_boundary
context_boundary-heldout-code-256,heldout,code,960,200,resident_seed_batch,fixed_1,256,148,148,40,146,108,3337.1299132315858,594.4820945843642,2641.508867753361,0.0,6573.120875569312,25.676253420192626,38.94649206155474,7.437501335516572e-05,0,148,0,0,0,0,context_boundary
context_boundary-heldout-code-256,heldout,code,960,200,resident_seed_batch,fixed_2,256,116,115,56,228,140,2607.9378971622837,575.1202478031244,2163.8082742217216,61.92891083209013,5408.795330019221,21.128106757887583,47.330317451499916,5.4957985412329435e-05,1,0,115,0,0,0,context_boundary
context_boundary-heldout-code-256,heldout,code,960,200,resident_seed_batch,fixed_3,256,100,100,65,297,156,23.247034787174332,603.0660501823886,3205.3810646776856,181.70339000247307,4013.3975396497217,15.677334139256725,63.786354945127854,4.691700451076031e-05,0,0,0,100,0,0,context_boundary
context_boundary-heldout-code-256,heldout,code,960,200,resident_seed_batch,fixed_4,256,92,92,69,363,164,23.247034787174332,640.539908970537,3152.52086323074,191.28187247824917,4007.5896794666996,15.654647185416795,63.87879510510831,4.258396802470088e-05,0,0,0,1,91,0,context_boundary
context_boundary-heldout-code-256,heldout,code,960,200,resident_seed_batch,fixed_5,256,83,83,64,407,173,23.247034787174332,659.2567829202051,3051.1725203936135,177.19410099763263,3910.8704390986245,15.276837652729002,65.45857347782729,3.3958989661186934e-05,0,0,0,1,1,81,context_boundary
context_boundary-heldout-code-256,heldout,code,960,200,resident_seed_batch,h1,256,99,86,59,359,157,435.127424469369,625.9117136142406,2983.1323266966324,162.43682944112223,4206.6082942213625,16.432063649302197,60.85662892636531,0.00010545796249061823,13,3,3,19,7,54,context_boundary
context_boundary-heldout-code-256,heldout,code,960,200,resident_seed_batch,h2,256,107,93,59,300,149,334.5583899313939,584.4035264831274,3034.3764877712115,164.242385595483,4117.580789781216,16.084299960082873,62.17242916892527,0.00011158298002555966,14,0,0,81,0,12,context_boundary
context_boundary-heldout-code-256,heldout,code,960,201,resident_seed_batch,ordinary,256,256,0,0,0,0,5739.436418355474,0.0,0.0,0.0,5739.436418355474,22.419673509201072,44.60368254647412,0.0001354580163024366,256,0,0,0,0,0,context_boundary
context_boundary-heldout-code-256,heldout,code,960,201,resident_seed_batch,default,256,181,41,34,200,75,3198.4809319409665,322.45784675588084,1457.2418980514708,91.93148861865298,5070.112165366972,19.805125645964733,50.491979595380585,0.00020512501941993833,140,0,0,0,0,41,context_boundary
context_boundary-heldout-code-256,heldout,code,960,201,resident_seed_batch,existing_cost_gate,256,153,53,44,260,103,2299.7803026128145,418.5330505344211,1908.945979051428,119.13811134544729,4746.39744354411,18.540615013844178,53.93564341060452,0.00018224999075755477,100,0,0,0,0,53,context_boundary
context_boundary-heldout-code-256,heldout,code,960,201,resident_seed_batch,fixed_1,256,155,154,53,152,101,3492.376547183004,618.1202833205018,2471.894525310579,0.0,6582.391355814092,25.712466233648797,38.891640767284436,6.620801286771894e-05,1,154,0,0,0,0,context_boundary
context_boundary-heldout-code-256,heldout,code,960,201,resident_seed_batch,fixed_2,256,123,123,72,241,133,2765.9812718657836,614.8920212512594,2232.1408990710147,88.47255556157606,5701.486747749635,22.27143260839701,44.90056915436008,5.295802839100361e-05,0,1,122,0,0,0,context_boundary
context_boundary-heldout-code-256,heldout,code,960,201,resident_seed_batch,fixed_3,256,108,108,73,317,148,68.11456889605171,645.7053971840176,3405.9306362885945,198.04297104292448,4317.793573411589,16.86638114613902,59.28954120836501,4.537496715784073e-05,0,0,1,107,0,0,context_boundary
context_boundary-heldout-code-256,heldout,code,960,201,resident_seed_batch,fixed_4,256,94,94,67,372,162,21.52053633520156,654.4575812204935,3217.8609056356813,183.3548282931905,4077.1938514845665,15.926538482361588,62.78828265837461,4.0207989513874054e-05,0,0,0,0,94,0,context_boundary
context_boundary-heldout-code-256,heldout,code,960,201,resident_seed_batch,fixed_5,256,93,93,73,455,163,45.83768929420878,731.114293900288,3387.8592613070205,199.83842264166788,4364.649667143188,17.049412762278077,58.65304652676986,3.754202043637633e-05,0,0,1,1,0,91,context_boundary
context_boundary-heldout-code-256,heldout,code,960,201,resident_seed_batch,h1,256,128,85,56,261,128,1148.8594606065092,519.8294997683327,2643.3522869589774,147.09635426536198,4459.137601599181,17.4185062562468,57.41020414086138,0.00013324996689334512,43,3,3,61,15,3,context_boundary
context_boundary-heldout-code-256,heldout,code,960,201,resident_seed_batch,h2,256,118,82,60,341,138,836.4369766356876,592.5863790388385,2859.126929082677,165.10836417673056,4453.258648933936,17.395541597398186,57.48599400604853,0.0001224169973284006,36,0,0,32,0,50,context_boundary
context_boundary-heldout-code-256,heldout,code,960,202,resident_seed_batch,ordinary,256,256,0,0,0,0,5728.877507171399,0.0,0.0,0.0,5728.877507171399,22.378427762388277,44.685891726527515,0.00011754198931157589,256,0,0,0,0,0,context_boundary
context_boundary-heldout-code-256,heldout,code,960,202,resident_seed_batch,default,256,165,44,34,210,91,2776.363176253012,355.7103819957516,1569.9186833030626,91.09264156571793,4793.084883117546,18.722987824677915,53.41027881682141,0.00019666703883558512,121,0,0,0,0,44,context_boundary
context_boundary-heldout-code-256,heldout,code,960,202,resident_seed_batch,existing_cost_gate,256,141,62,52,295,115,1844.2509410550276,492.9559634584096,2181.7447601099075,136.4041224823019,4655.355787105647,18.184983543381435,54.990426447977605,0.0005190829979255795,79,0,0,0,0,62,context_boundary
context_boundary-heldout-code-256,heldout,code,960,202,resident_seed_batch,fixed_1,256,155,154,53,148,101,3467.785288356919,614.0388619391472,2438.0682518876156,0.0,6519.892402183683,25.46832969603001,39.264451651726475,0.0001604999997653067,1,154,0,0,0,0,context_boundary
