case,split,domain,initial_context,seed,mode,policy,committed,cycles,draft_cycles,rejections,proposed,accepted,target_ms,draft_ms,verify_ms,recovery_ms,total_ms,ms_per_token,simulated_tps,host_simulator_seconds,depth_0_cycles,depth_1_cycles,depth_2_cycles,depth_3_cycles,depth_4_cycles,depth_5_cycles,stress
expensive_verify-heldout-code-256,heldout,code,256,200,resident_seed_batch,ordinary,256,256,0,0,0,0,5250.300457588686,0.0,0.0,0.0,5250.300457588686,20.508986162455805,48.75911427697102,0.00012258300557732582,256,0,0,0,0,0,expensive_verify
expensive_verify-heldout-code-256,heldout,code,256,200,resident_seed_batch,default,256,145,44,33,215,111,2092.3112701427235,355.83405924834926,2619.9650768231404,90.14553970951296,5158.255945923721,20.149437288764535,49.6291775134389,0.00024329096777364612,101,0,0,0,0,44,expensive_verify
expensive_verify-heldout-code-256,heldout,code,256,200,resident_seed_batch,existing_cost_gate,256,124,54,43,265,132,1459.2106558361866,432.7336197634334,3219.8772283040807,117.55886237924308,5229.380366282941,20.42726705579274,48.954174695455464,0.0002092499635182321,70,0,0,0,0,54,expensive_verify
expensive_verify-heldout-code-256,heldout,code,256,200,resident_seed_batch,fixed_1,256,147,146,37,144,109,3022.5230019022315,589.5565316626078,4382.216092522023,0.0,7994.295626086859,31.22771728940179,32.02283377720294,8.458300726488233e-05,1,146,0,0,0,0,expensive_verify
expensive_verify-heldout-code-256,heldout,code,256,200,resident_seed_batch,fixed_2,256,108,107,44,211,148,2227.647809275304,540.8715256521423,3782.8881342479463,63.6372144668517,6615.044683642247,25.840018295477527,38.69966300198085,6.029097130522132e-05,1,1,106,0,0,0,expensive_verify
expensive_verify-heldout-code-256,heldout,code,256,200,resident_seed_batch,fixed_3,256,96,95,59,276,160,94.38143811403896,571.8531659378245,4808.0316122908425,156.2154535214365,5630.48166986414,21.994069022906796,45.46680284391675,5.34169957973063e-05,1,1,1,93,0,0,expensive_verify
expensive_verify-heldout-code-256,heldout,code,256,200,resident_seed_batch,fixed_4,256,86,85,64,331,170,76.14772469338787,591.0297210685601,4644.29252724384,171.8516424639869,5483.321615469774,21.419225060428804,46.68702986119986,4.716700641438365e-05,1,1,1,0,83,0,expensive_verify
expensive_verify-heldout-code-256,heldout,code,256,200,resident_seed_batch,fixed_5,256,73,72,56,347,183,76.14772469338787,570.1390896901482,4206.135642480794,149.43803886341402,5001.860495727743,19.538517561436496,51.180955610149105,3.950000973418355e-05,1,1,1,0,1,69,expensive_verify
expensive_verify-heldout-code-256,heldout,code,256,200,resident_seed_batch,h1,256,103,64,44,268,153,931.9341822438089,468.705804297655,3573.4352435003498,118.53739002130683,5092.61262006312,19.89301804712156,50.268893218276446,0.00014412502059713006,39,3,2,3,23,33,expensive_verify
expensive_verify-heldout-code-256,heldout,code,256,200,resident_seed_batch,h2,256,153,42,31,188,103,2268.5379395025325,320.4982502755336,2486.8656280881355,88.25200345266124,5164.15382131886,20.172475864526795,49.572497035849494,0.00020691700046882033,111,0,0,11,0,31,expensive_verify
expensive_verify-heldout-code-256,heldout,code,256,201,resident_seed_batch,ordinary,256,256,0,0,0,0,5245.668698946933,0.0,0.0,0.0,5245.668698946933,20.490893355261456,48.80216702427128,0.00018500001169741154,256,0,0,0,0,0,expensive_verify
expensive_verify-heldout-code-256,heldout,code,256,201,resident_seed_batch,default,256,145,48,35,235,111,2039.3390788475128,389.57226874134955,2856.1796382266944,96.69115805340004,5381.782143868957,21.022586499488114,47.567886093576035,0.00023608299670740962,97,0,0,0,0,48,expensive_verify
expensive_verify-heldout-code-256,heldout,code,256,201,resident_seed_batch,existing_cost_gate,256,127,60,47,290,129,1426.2935031092777,487.7545463108515,3555.6076007239935,128.11443884421038,5597.7700889883345,21.86628941011068,45.73249632091731,0.00021095899865031242,67,0,0,0,0,60,expensive_verify
expensive_verify-heldout-code-256,heldout,code,256,201,resident_seed_batch,fixed_1,256,150,149,43,144,106,3073.529225785473,599.3801026247038,4220.323393223132,0.0,7893.2327216333115,30.832940318880123,32.43284583493531,0.0001190409529954195,1,149,0,0,0,0,expensive_verify
expensive_verify-heldout-code-256,heldout,code,256,201,resident_seed_batch,fixed_2,256,114,113,55,220,142,2355.1485692775436,572.7390405049345,3706.039010912763,73.10731083985645,6707.0339315350975,26.199351295058975,38.16888398258141,7.462501525878906e-05,1,0,113,0,0,0,expensive_verify
expensive_verify-heldout-code-256,heldout,code,256,201,resident_seed_batch,fixed_3,256,101,100,66,293,155,84.63432266734785,608.596665600738,5189.479398656132,181.84461557165673,6064.555002495872,23.6896679784995,42.212495375941515,7.316702976822853e-05,1,0,1,99,0,0,expensive_verify
expensive_verify-heldout-code-256,heldout,code,256,201,resident_seed_batch,fixed_4,256,92,91,71,354,164,84.63432266734785,644.2009383448448,5087.139885246009,194.53445302338747,6010.509599281589,23.478553122193706,42.5920624152399,5.620799493044615e-05,1,0,1,0,90,0,expensive_verify
