case,split,domain,initial_context,seed,mode,policy,committed,cycles,draft_cycles,rejections,proposed,accepted,target_ms,draft_ms,verify_ms,recovery_ms,total_ms,ms_per_token,simulated_tps,host_simulator_seconds,depth_0_cycles,depth_1_cycles,depth_2_cycles,depth_3_cycles,depth_4_cycles,depth_5_cycles,stress
flat_draft-heldout-code-256,heldout,code,256,200,resident_seed_batch,ordinary,256,256,0,0,0,0,5237.248431673357,0.0,0.0,0.0,5237.248431673357,20.45800168622405,48.88062946408774,0.00016354199033230543,256,0,0,0,0,0,flat_draft
flat_draft-heldout-code-256,heldout,code,256,200,resident_seed_batch,default,256,125,56,43,270,131,1464.8177694415344,456.4097770338,1649.959084910744,117.0015466431229,3688.1881780292024,14.406985070426572,69.41077505887853,0.0002721250057220459,69,0,0,0,0,56,flat_draft
flat_draft-heldout-code-256,heldout,code,256,200,resident_seed_batch,existing_cost_gate,256,129,61,50,290,127,1478.385075281534,494.33480323480114,1770.3727804028908,133.5297588649837,3876.6224177842114,15.143056319469576,66.03686725474898,0.00029783399077132344,68,0,0,0,0,61,flat_draft
flat_draft-heldout-code-256,heldout,code,256,200,resident_seed_batch,fixed_1,256,154,153,51,148,102,3162.874961231497,1225.3205005634707,2021.9018617653999,0.0,6410.097323560365,25.039442670157676,39.93699113725932,0.00011475000064820051,1,153,0,0,0,0,flat_draft
flat_draft-heldout-code-256,heldout,code,256,200,resident_seed_batch,fixed_2,256,122,121,66,237,134,2525.0870527286806,974.4772343722636,1740.4900641142442,68.70705804558791,5308.761409260776,20.737349254924908,48.22217091041712,9.225000394508243e-05,1,1,120,0,0,0,flat_draft
flat_draft-heldout-code-256,heldout,code,256,200,resident_seed_batch,fixed_3,256,101,101,63,294,155,60.707025096648245,815.1706210561603,2595.3148499795,172.97332956836556,3644.1658257006743,14.235022756643259,70.24927301456654,7.02079851180315e-05,0,0,0,101,0,0,flat_draft
flat_draft-heldout-code-256,heldout,code,256,200,resident_seed_batch,fixed_4,256,100,99,77,375,156,144.23533337274438,794.0191052682983,2660.6121419908986,201.14316369965513,3800.009744331596,14.843788063795296,67.36824830038145,7.520895451307297e-05,1,1,1,0,97,0,flat_draft
flat_draft-heldout-code-256,heldout,code,256,200,resident_seed_batch,fixed_5,256,93,92,79,437,163,122.43946261549405,736.1814543334674,2673.6163501167734,209.60486505386808,3741.8421321196042,14.616570828592204,68.41549989576556,6.741698598489165e-05,1,1,1,0,1,89,flat_draft
flat_draft-heldout-code-256,heldout,code,256,200,resident_seed_batch,h1,256,105,95,73,362,151,370.12080288862245,768.0642667575447,2558.7135581267935,191.63205125265173,3888.530679025612,15.189572964943796,65.83463552977508,0.00018804200226441026,10,3,2,8,65,17,flat_draft
flat_draft-heldout-code-256,heldout,code,256,200,resident_seed_batch,h2,256,124,85,55,286,132,847.6340473339801,686.0177882002461,2260.554301428212,149.21809409944015,3943.4242310618793,15.404000902585466,64.9181992603075,0.00022725004237145185,39,0,0,64,0,21,flat_draft
