case,mode,policy,runs,speedup_vs_ordinary,speedup_vs_default,vs_default_ci_low,vs_default_ci_high,runs_slower_than_ordinary,runs_slower_than_default,worst_vs_ordinary,worst_vs_default
fresh_seeds-heldout-code-2048,resident_seed_batch,default,40,1.3051106616189594,1.0,1.0,1.0,0,0,1.1249543150834647,1.0
fresh_seeds-heldout-code-2048,resident_seed_batch,existing_cost_gate,40,1.3005048138086033,0.9964709139647648,0.9861198405639313,1.0070319679230426,0,22,1.0727061158269087,0.9361515297742011
fresh_seeds-heldout-code-2048,resident_seed_batch,fixed_1,40,0.8439504856850968,0.6466505182313015,0.632619001716078,0.6610050736278885,40,40,0.8320278182245806,0.567018146587055
fresh_seeds-heldout-code-2048,resident_seed_batch,fixed_2,40,1.0178565372736421,0.7799005610842339,0.7631060001474098,0.7974397786667561,7,40,0.9844379983619373,0.6827567666805712
fresh_seeds-heldout-code-2048,resident_seed_batch,fixed_3,40,1.3367693796209512,1.0242574970330256,1.001297177783173,1.04672506155566,0,14,1.1910241016064813,0.843254748912635
fresh_seeds-heldout-code-2048,resident_seed_batch,fixed_4,40,1.3388463774251467,1.025848931280922,1.005118467234058,1.0464491468987813,0,12,1.2062644443775672,0.8886273554606774
fresh_seeds-heldout-code-2048,resident_seed_batch,fixed_5,40,1.3257544317808607,1.0158176396599912,0.9987659923360945,1.0324464299501397,0,14,1.1629469624456585,0.8903638907170393
fresh_seeds-heldout-code-2048,resident_seed_batch,h1,40,1.2991406157541265,0.9954256401082288,0.9742065339712894,1.0171198716855343,0,20,1.1406979997928424,0.8640093359567467
fresh_seeds-heldout-code-2048,resident_seed_batch,h2,40,1.3203128727776063,1.0116482162055047,0.9903154161738676,1.0331512532453544,0,15,1.1690444722874263,0.8940854593087947
fresh_seeds-heldout-code-2048,resident_seed_batch,ordinary,40,1.0,0.7662185509690982,0.7495095502597856,0.7835857806681373,0,40,1.0,0.6743524884624738
