case,split,domain,initial_context,seed,mode,policy,committed,cycles,draft_cycles,rejections,proposed,accepted,target_ms,draft_ms,verify_ms,recovery_ms,total_ms,ms_per_token,simulated_tps,host_simulator_seconds,depth_0_cycles,depth_1_cycles,depth_2_cycles,depth_3_cycles,depth_4_cycles,depth_5_cycles,stress
fresh_seeds-heldout-code-256,heldout,code,256,400,resident_seed_batch,ordinary,256,256,0,0,0,0,5229.607067732764,0.0,0.0,0.0,5229.607067732764,20.42815260833111,48.9520525508594,0.000269667012616992,256,0,0,0,0,0,fresh_seeds
fresh_seeds-heldout-code-256,heldout,code,256,400,resident_seed_batch,default,256,105,56,39,275,151,1034.0605143863897,443.53904550506866,1639.3014141485226,106.29239497881193,3223.193369018794,12.590599097729664,79.42433813021017,0.0018327080179005861,49,0,0,0,0,56,fresh_seeds
fresh_seeds-heldout-code-256,heldout,code,256,400,resident_seed_batch,existing_cost_gate,256,99,65,48,320,157,715.1980448762777,512.8813872698126,1909.9820295092177,130.495417701889,3268.5568793571965,12.767800309989049,78.32202695225719,0.0002738750190474093,34,0,0,0,0,65,fresh_seeds
fresh_seeds-heldout-code-256,heldout,code,256,400,resident_seed_batch,fixed_1,256,146,145,35,141,110,2962.414568723607,577.8412504586872,2153.909328287203,0.0,5694.1651474695,22.242832607302734,44.95830264314813,0.00020662503084167838,1,145,0,0,0,0,fresh_seeds
fresh_seeds-heldout-code-256,heldout,code,256,400,resident_seed_batch,fixed_2,256,112,112,52,217,144,2275.225868028607,556.650677706544,1839.5877579708479,69.72978419541138,4741.194087901406,18.52028940586487,53.99483658626454,0.00018516700947657228,0,1,111,0,0,0,fresh_seeds
fresh_seeds-heldout-code-256,heldout,code,256,400,resident_seed_batch,fixed_3,256,94,94,52,274,162,61.851022608121,560.5487915290612,2398.118456540561,140.28242542552016,3160.8006961032643,12.346877719153376,80.99213604818708,0.0001145839923992753,0,1,0,93,0,0,fresh_seeds
fresh_seeds-heldout-code-256,heldout,code,256,400,resident_seed_batch,fixed_4,256,85,85,59,337,171,23.64800443720246,590.0490870377147,2386.128843437012,165.54089316015506,3165.366828072084,12.364714172156578,80.87530258093997,0.00010670803021639585,0,1,0,0,84,0,fresh_seeds
fresh_seeds-heldout-code-256,heldout,code,256,400,resident_seed_batch,fixed_5,256,76,76,57,370,180,44.70091053458259,595.3507402001684,2236.5646458909496,155.887593249129,3032.5038898748294,11.845718319823552,84.41868808635452,5.87090034969151e-05,0,1,0,0,1,74,fresh_seeds
fresh_seeds-heldout-code-256,heldout,code,256,400,resident_seed_batch,h1,256,83,73,50,325,173,305.8243638978744,544.2425603583857,2090.5358427763717,136.60663229789193,3077.2093993305234,12.020349216134857,83.19225856248043,0.0002742920187301934,10,2,2,8,5,56,fresh_seeds
fresh_seeds-heldout-code-256,heldout,code,256,400,resident_seed_batch,h2,256,104,92,55,278,152,282.001651121534,555.7250093837908,2356.351807877143,147.73771970599066,3341.8161880884586,13.053969484720541,76.60505114329276,0.00024854199727997184,12,0,0,88,0,4,fresh_seeds
fresh_seeds-heldout-code-256,heldout,code,256,401,resident_seed_batch,ordinary,256,256,0,0,0,0,5225.474156378638,0.0,0.0,0.0,5225.474156378638,20.412008423354056,48.99076951466798,0.00019212503684684634,256,0,0,0,0,0,fresh_seeds
fresh_seeds-heldout-code-256,heldout,code,256,401,resident_seed_batch,default,256,148,45,34,220,108,2139.6512411959247,362.5180827383887,1333.2421323548228,92.14671136742557,3927.5581676565635,15.342024092408451,65.18044776730736,0.0002819590154103935,103,0,0,0,0,45,fresh_seeds
fresh_seeds-heldout-code-256,heldout,code,256,401,resident_seed_batch,existing_cost_gate,256,103,64,49,315,153,814.3870684623265,515.6969438500073,1917.440419057909,134.31630920443087,3381.8407405746734,13.210315392869818,75.69841977730097,0.00021045905305072665,39,0,0,0,0,64,fresh_seeds
fresh_seeds-heldout-code-256,heldout,code,256,401,resident_seed_batch,fixed_1,256,148,147,39,144,108,2998.5009812063454,584.3424757467949,2126.4802157128447,0.0,5709.323672665984,22.3020455963515,44.83893621684617,0.00012812501518055797,1,147,0,0,0,0,fresh_seeds
fresh_seeds-heldout-code-256,heldout,code,256,401,resident_seed_batch,fixed_2,256,116,115,55,226,140,2382.2666681396745,579.4315108679712,1770.298918257247,57.51129503680081,4789.508392301693,18.709017157428487,53.450162110891334,9.133300045505166e-05,1,0,115,0,0,0,fresh_seeds
fresh_seeds-heldout-code-256,heldout,code,256,401,resident_seed_batch,fixed_3,256,93,92,50,266,163,102.23795277658206,548.0459873360184,2308.150265739653,130.72141620368183,3089.1556220559364,12.067014148656002,82.87054176623948,6.933300755918026e-05,1,0,1,91,0,0,fresh_seeds
fresh_seeds-heldout-code-256,heldout,code,256,401,resident_seed_batch,fixed_4,256,83,82,55,318,173,81.81850824777322,576.3656016940125,2269.104645813846,149.43590255252118,3076.7246583081533,12.018455696516224,83.20536558535294,5.87090034969151e-05,1,0,1,0,81,0,fresh_seeds
fresh_seeds-heldout-code-256,heldout,code,256,401,resident_seed_batch,fixed_5,256,79,78,59,378,177,61.756558428047356,626.3431838502963,2315.8481593957017,161.02643338318038,3164.974335057226,12.36318099631729,80.88533204341805,5.199998850002885e-05,1,0,0,1,0,77,fresh_seeds
fresh_seeds-heldout-code-256,heldout,code,256,401,resident_seed_batch,h1,256,95,88,62,351,161,679.9574984859064,625.755859326908,2211.1680641326434,144.85748779952755,3661.7389097449854,14.30366761619135,69.9121390983686,0.0002541670110076666,7,3,22,2,2,59,fresh_seeds
fresh_seeds-heldout-code-256,heldout,code,256,401,resident_seed_batch,h2,256,88,79,62,382,168,205.09404177688273,627.5948160667692,2360.050867480473,172.82748192927596,3365.5672072534,13.146746903333593,76.0644444859916,0.00018070900114253163,9,0,0,4,0,75,fresh_seeds
fresh_seeds-heldout-code-256,heldout,code,256,402,resident_seed_batch,ordinary,256,256,0,0,0,0,5222.263420095936,0.0,0.0,0.0,5222.263420095936,20.39946648474975,49.020889872172916,0.00017162499716505408,256,0,0,0,0,0,fresh_seeds
fresh_seeds-heldout-code-256,heldout,code,256,402,resident_seed_batch,default,256,181,41,31,195,75,2910.0463090281937,328.17811174535433,1171.8431992426579,81.53141562452514,4491.599035640733,17.545308732971613,56.995292315419526,0.0005139160202816129,140,0,0,0,0,41,fresh_seeds
fresh_seeds-heldout-code-256,heldout,code,256,402,resident_seed_batch,existing_cost_gate,256,133,59,44,275,123,1601.0534942367901,471.8875239162339,1665.1001272797425,111.77033638519163,3849.8114818179574,15.038326100851396,66.49676255812706,0.0002484580036252737,74,0,0,0,0,59,fresh_seeds
fresh_seeds-heldout-code-256,heldout,code,256,402,resident_seed_batch,fixed_1,256,151,151,46,148,105,3084.5376708457516,605.284414736977,2084.4596228512746,0.0,5774.281708434008,22.555787923570342,44.33451863390772,0.00011791696306318045,0,151,0,0,0,0,fresh_seeds
fresh_seeds-heldout-code-256,heldout,code,256,402,resident_seed_batch,fixed_2,256,121,121,62,233,135,2458.8831819471475,601.8140748960943,1676.909970370441,49.38964049849587,4786.99686771218,18.699206514500702,53.47820503637566,0.00010095798643305898,0,1,120,0,0,0,fresh_seeds
fresh_seeds-heldout-code-256,heldout,code,256,402,resident_seed_batch,fixed_3,256,102,102,63,298,154,64.48351082323275,615.1311155077188,2629.759054292305,170.94501431522795,3480.3186949384854,13.594994902103458,73.55648216133402,7.762503810226917e-05,0,1,0,101,0,0,fresh_seeds
fresh_seeds-heldout-code-256,heldout,code,256,402,resident_seed_batch,fixed_4,256,99,99,76,381,157,81.62684052968962,684.3090376005916,2685.864611817192,202.46318074540693,3654.2636706928815,14.274467463644068,70.05515284874342,7.183302659541368e-05,0,1,0,0,98,0,fresh_seeds
fresh_seeds-heldout-code-256,heldout,code,256,402,resident_seed_batch,fixed_5,256,88,88,69,421,168,81.62684052968962,700.7588513121259,2575.5194064574002,185.61986575342075,3543.5249640526367,13.841894390830612,72.24444658835407,5.4750009439885616e-05,0,1,0,0,0,87,fresh_seeds
fresh_seeds-heldout-code-256,heldout,code,256,402,resident_seed_batch,h1,256,104,92,66,344,152,446.4414348406302,627.0254364610792,2421.1685996065785,170.42101527753135,3665.0564861858215,14.316626899163365,69.84885525363785,0.00016325002070516348,12,3,5,2,76,6,fresh_seeds
fresh_seeds-heldout-code-256,heldout,code,256,402,resident_seed_batch,h2,256,92,78,58,370,164,337.676838958675,607.5857571955994,2256.7715999630746,155.24456694629728,3357.278763063645,13.114370168217363,76.2522322591974,0.00014825002290308475,14,0,0,5,0,73,fresh_seeds
fresh_seeds-heldout-code-256,heldout,code,256,403,resident_seed_batch,ordinary,256,256,0,0,0,0,5216.137127560959,0.0,0.0,0.0,5216.137127560959,20.375535654534996,49.078464338552465,0.00017079198732972145,256,0,0,0,0,0,fresh_seeds
fresh_seeds-heldout-code-256,heldout,code,256,403,resident_seed_batch,default,256,110,64,48,320,146,939.3562610651518,513.7464838158751,1935.2774526266555,134.62772409802307,3523.0079216057043,13.761749693772282,72.66517864748972,0.0002056660014204681,46,0,0,0,0,64,fresh_seeds
fresh_seeds-heldout-code-256,heldout,code,256,403,resident_seed_batch,existing_cost_gate,256,105,65,48,325,151,821.0321460266575,522.1742187434581,1968.3967431235046,134.62772409802307,3446.2308319916415,13.46183918746735,74.2840548066401,0.00020158401457592845,40,0,0,0,0,65,fresh_seeds
fresh_seeds-heldout-code-256,heldout,code,256,403,resident_seed_batch,fixed_1,256,152,151,47,151,104,3102.2335589911586,605.1691602536753,2068.9066356814187,0.0,5776.309354926254,22.56370841768068,44.318955975180515,9.91669949144125e-05,1,151,0,0,0,0,fresh_seeds
fresh_seeds-heldout-code-256,heldout,code,256,403,resident_seed_batch,fixed_2,256,114,114,53,222,142,2329.473870410727,570.8319986018975,1783.2167590479817,56.38726005709921,4739.909888117704,18.515273000459782,54.00946558957934,7.845798972994089e-05,0,0,114,0,0,0,fresh_seeds
fresh_seeds-heldout-code-256,heldout,code,256,403,resident_seed_batch,fixed_3,256,103,103,67,305,153,47.843240367873165,618.5719629822006,2666.704975627975,184.435713464574,3517.5558924426214,13.74045270485399,72.77780590494935,6.70420122332871e-05,0,0,1,102,0,0,fresh_seeds
fresh_seeds-heldout-code-256,heldout,code,256,403,resident_seed_batch,fixed_4,256,92,92,69,365,164,21.95240154048905,642.8089447642867,2601.269097248171,193.75718995321807,3459.787633506163,13.514795443383449,73.99298081789158,5.704205250367522e-05,0,0,1,1,90,0,fresh_seeds
fresh_seeds-heldout-code-256,heldout,code,256,403,resident_seed_batch,fixed_5,256,84,84,66,415,172,21.95240154048905,670.7711753584017,2553.1069300765116,185.4062327353388,3431.236739710739,13.403268514495075,74.60866720073106,4.9209047574549913e-05,0,0,1,1,0,82,fresh_seeds
fresh_seeds-heldout-code-256,heldout,code,256,403,resident_seed_batch,h1,256,103,95,57,294,153,280.39679700102573,584.5326153577554,2493.7505173259856,158.30144264493526,3516.9813723297016,13.738208485662897,72.78969459836,0.00016491598216816783,8,3,3,73,14,2,fresh_seeds
