case,split,domain,initial_context,seed,mode,policy,committed,cycles,draft_cycles,rejections,proposed,accepted,target_ms,draft_ms,verify_ms,recovery_ms,total_ms,ms_per_token,simulated_tps,host_simulator_seconds,depth_0_cycles,depth_1_cycles,depth_2_cycles,depth_3_cycles,depth_4_cycles,depth_5_cycles,stress
long-heldout-code-256,heldout,code,256,200,resident_seed_batch,ordinary,2048,2048,0,0,0,0,47188.94294899243,0.0,0.0,0.0,47188.94294899243,23.04147604931271,43.39999737255671,0.0016983330133371055,2048,0,0,0,0,0,long
long-heldout-code-256,heldout,code,256,200,resident_seed_batch,default,2048,1039,424,308,2075,1009,15089.370139485212,3408.7715782111595,16011.644851673425,842.2260871381341,35352.01265650797,17.261724929935532,57.931638005990095,0.002214499982073903,615,0,0,0,0,424,long
long-heldout-code-256,heldout,code,256,200,resident_seed_batch,existing_cost_gate,2048,941,523,413,2555,1107,10311.63275459835,4203.342437145041,20256.29843689174,1127.4340824891037,35898.70771112424,17.528665874572383,57.04940736252098,0.0022216669749468565,418,0,0,0,0,523,long
long-heldout-code-256,heldout,code,256,200,resident_seed_batch,fixed_1,2048,1193,1192,337,1167,855,27649.15949440602,4777.70329777969,21613.635550757066,0.0,54040.49834294278,26.38696208151503,37.89750396088734,0.0013439999893307686,1,1192,0,0,0,0,long
long-heldout-code-256,heldout,code,256,200,resident_seed_batch,fixed_2,2048,920,919,443,1811,1128,21492.433246610966,4623.6673869359975,18443.162353472613,496.3170841557497,45055.580071175325,21.999794956628577,45.4549691018233,0.0009248749702237546,1,1,918,0,0,0,long
long-heldout-code-256,heldout,code,256,200,resident_seed_batch,fixed_3,2048,796,795,512,2323,1252,499.8664535308502,4794.599010051124,26901.69296933515,1384.6920358918437,33580.85046880897,16.39689964297313,60.987139140572154,0.0007570420275442302,1,1,0,794,0,0,long
long-heldout-code-256,heldout,code,256,200,resident_seed_batch,fixed_4,2048,731,730,539,2856,1317,395.29688303172156,5132.406470756385,26875.195155018017,1477.6041269200293,33880.5026357261,16.543214177600635,60.44774547826329,0.0010761250159703195,1,1,0,1,728,0,long
long-heldout-code-256,heldout,code,256,200,resident_seed_batch,fixed_5,2048,681,680,538,3318,1367,403.5887916704517,5459.593036887581,26969.05449880742,1471.3126542882023,34303.5489816537,16.749779776198096,59.702277484330146,0.0006373329670168459,1,1,0,1,1,677,long
long-heldout-code-256,heldout,code,256,200,resident_seed_batch,h1,2048,1013,509,334,1999,1035,13856.622390462968,3576.013159472895,16902.910036730304,861.5743580188026,35197.11994468498,17.186093722990712,58.18657899335491,0.001764457963872701,504,14,26,61,250,158,long
long-heldout-code-256,heldout,code,256,200,resident_seed_batch,h2,2048,922,613,433,2304,1126,7844.910258809511,4224.584780191836,21705.61010684512,1175.8624184697412,34950.96756431626,17.0659021310138,58.59637494244759,0.0017581669962964952,309,0,0,354,0,259,long
long-heldout-code-256,heldout,code,256,201,resident_seed_batch,ordinary,2048,2048,0,0,0,0,47133.535191396935,0.0,0.0,0.0,47133.535191396935,23.014421480174285,43.45101617529024,0.0015090839588083327,2048,0,0,0,0,0,long
long-heldout-code-256,heldout,code,256,201,resident_seed_batch,default,2048,1100,389,285,1890,948,17584.634234782916,3098.593268401675,14206.976067445656,761.8452806655015,35652.04885129579,17.408226978171772,57.44410394314728,0.0022767080226913095,711,0,0,0,0,389,long
