case,split,domain,initial_context,seed,mode,policy,committed,cycles,draft_cycles,rejections,proposed,accepted,target_ms,draft_ms,verify_ms,recovery_ms,total_ms,ms_per_token,simulated_tps,host_simulator_seconds,depth_0_cycles,depth_1_cycles,depth_2_cycles,depth_3_cycles,depth_4_cycles,depth_5_cycles,stress
noisy-heldout-code-256,heldout,code,256,200,resident_seed_batch,ordinary,256,256,0,0,0,0,5238.360815823042,0.0,0.0,0.0,5238.360815823042,20.462346936808757,48.87024949230759,0.00013350002700462937,256,0,0,0,0,0,noisy
noisy-heldout-code-256,heldout,code,256,200,resident_seed_batch,default,256,132,60,47,290,124,1491.2597525629944,501.2201241378165,1825.265775322196,130.65467694126173,3948.4003289642683,15.423438785016673,64.83638402166609,0.00016666599549353123,72,0,0,0,0,60,noisy
noisy-heldout-code-256,heldout,code,256,200,resident_seed_batch,existing_cost_gate,256,106,72,56,350,150,730.2941716219151,581.8416012216192,2147.6526592981145,150.56295047438496,3610.3513826160347,14.102935088343886,70.90722560486736,0.00014029198791831732,34,0,0,0,0,72,noisy
noisy-heldout-code-256,heldout,code,256,200,resident_seed_batch,fixed_1,256,151,151,46,146,105,3043.743029201748,597.1890617390532,2071.395811273204,0.0,5712.327902214009,22.31378086802347,44.815354507359146,8.07500327937305e-05,0,151,0,0,0,0,noisy
noisy-heldout-code-256,heldout,code,256,200,resident_seed_batch,fixed_2,256,118,118,59,225,138,2435.652104305248,596.0487707050422,1716.7871783705593,56.61619200503657,4805.104245385886,18.76993845853862,53.27667974026259,6.0624966863542795e-05,0,1,117,0,0,0,noisy
noisy-heldout-code-256,heldout,code,256,200,resident_seed_batch,fixed_3,256,99,99,61,279,157,138.55573838599025,572.6974017200506,2354.8148002330768,154.4856999633123,3220.55364030243,12.580287657431366,79.4894383364346,4.741700831800699e-05,0,1,1,97,0,0,noisy
noisy-heldout-code-256,heldout,code,256,200,resident_seed_batch,fixed_4,256,91,91,64,346,165,106.4971567804774,620.7939951635614,2403.445833152664,166.72135794678397,3297.4583430434864,12.880696652513619,77.63555240662032,4.312500823289156e-05,0,1,1,1,88,0,noisy
noisy-heldout-code-256,heldout,code,256,200,resident_seed_batch,fixed_5,256,90,90,73,426,166,103.23454978947896,718.790002504056,2623.070843389097,192.7209042862139,3637.8162999688457,14.210219921753303,70.37188766298958,3.645801916718483e-05,0,1,1,1,0,87,noisy
noisy-heldout-code-256,heldout,code,256,200,resident_seed_batch,h1,256,95,84,52,315,161,419.00367321589374,592.6721497681942,2286.5962890282917,137.74729032677052,3436.019402339149,13.421950790387301,74.50481793721016,0.00010283297160640359,11,4,3,6,55,16,noisy
noisy-heldout-code-256,heldout,code,256,200,resident_seed_batch,h2,256,107,94,60,283,149,340.90106913997687,565.9012095817371,2310.2815914344783,156.37760638572377,3373.461476541914,13.177583892741852,75.88644535594989,0.00034912495175376534,13,0,0,86,0,8,noisy
noisy-heldout-code-256,heldout,code,256,201,resident_seed_batch,ordinary,256,256,0,0,0,0,5181.075414403706,0.0,0.0,0.0,5181.075414403706,20.238575837514478,49.410591339455195,0.00012504099868237972,256,0,0,0,0,0,noisy
noisy-heldout-code-256,heldout,code,256,201,resident_seed_batch,default,256,153,46,35,225,103,2094.663744021403,346.3302499393145,1271.515020816003,87.3065173624199,3799.81553213914,14.843029422418516,67.37169155574311,0.00018550001550465822,107,0,0,0,0,46,noisy
