case,split,domain,initial_context,seed,mode,policy,committed,cycles,draft_cycles,rejections,proposed,accepted,target_ms,draft_ms,verify_ms,recovery_ms,total_ms,ms_per_token,simulated_tps,host_simulator_seconds,depth_0_cycles,depth_1_cycles,depth_2_cycles,depth_3_cycles,depth_4_cycles,depth_5_cycles,stress
short-heldout-code-256,heldout,code,256,200,resident_seed_batch,ordinary,32,32,0,0,0,0,636.0689291395383,0.0,0.0,0.0,636.0689291395383,19.877154035610573,50.30901296073206,2.3541972041130066e-05,32,0,0,0,0,0,short
short-heldout-code-256,heldout,code,256,200,resident_seed_batch,default,32,13,7,5,35,19,118.89230949831943,56.947645191715274,207.2014326030027,14.281446227220146,397.3228335202575,12.416338547508047,80.53904105254117,2.5458051823079586e-05,6,0,0,0,0,7,short
short-heldout-code-256,heldout,code,256,200,resident_seed_batch,existing_cost_gate,32,13,7,5,35,19,118.89230949831943,56.947645191715274,207.2014326030027,14.281446227220146,397.3228335202575,12.416338547508047,80.53904105254117,2.1291954908519983e-05,6,0,0,0,0,7,short
short-heldout-code-256,heldout,code,256,200,resident_seed_batch,fixed_1,32,20,19,7,19,12,393.4612889787771,75.15478029704597,230.2698611313243,0.0,698.8859304071473,21.840185325223352,45.78715725663255,1.6291975043714046e-05,1,19,0,0,0,0,short
short-heldout-code-256,heldout,code,256,200,resident_seed_batch,fixed_2,32,15,14,6,27,17,297.17777173015827,68.86016748649357,191.2714693443665,3.2510252636671098,560.5604338246854,17.51751355702142,57.08572719209783,1.087499549612403e-05,1,1,13,0,0,0,short
short-heldout-code-256,heldout,code,256,200,resident_seed_batch,fixed_3,32,13,12,7,36,19,16.78774099319897,71.65470127250391,300.1254344250152,19.164387004801974,407.73226369552,12.741633240485,78.48287430080948,9.790994226932526e-06,1,0,0,12,0,0,short
short-heldout-code-256,heldout,code,256,200,resident_seed_batch,fixed_4,32,9,9,4,36,23,0.0,64.45066281205976,249.86314634982187,11.451632182398273,325.7654413442799,10.180170042008747,98.23018632041243,6.832997314631939e-06,0,0,0,0,9,0,short
short-heldout-code-256,heldout,code,256,200,resident_seed_batch,fixed_5,32,9,9,6,44,23,0.0,72.37522372768024,265.40155848979174,17.038663434074834,354.8154456515468,11.087982676610837,90.18773109281777,6.124959327280521e-06,0,0,0,0,1,8,short
short-heldout-code-256,heldout,code,256,200,resident_seed_batch,h1,32,17,8,3,24,15,224.34157050384593,48.34439838342215,199.0488185017685,8.04560928413467,479.7803966731712,14.9931373960366,66.69718108928606,3.066699719056487e-05,9,1,1,4,1,1,short
short-heldout-code-256,heldout,code,256,200,resident_seed_batch,h2,32,12,5,1,23,20,142.11391852451308,38.6428328432067,144.22171673473113,2.695723648698277,327.6741917511492,10.239818492223412,97.65798102373064,2.0209001377224922e-05,7,0,0,1,0,4,short
short-heldout-code-256,heldout,code,256,201,resident_seed_batch,ordinary,32,32,0,0,0,0,650.8899173867669,0.0,0.0,0.0,650.8899173867669,20.340309918336466,49.16345935803642,1.7583020962774754e-05,32,0,0,0,0,0,short
short-heldout-code-256,heldout,code,256,201,resident_seed_batch,default,32,16,7,5,35,16,182.4569415699413,56.516563991449104,205.6782727264973,13.862584829743817,458.51436311763155,14.328573847425986,69.79061633406329,2.212502295151353e-05,9,0,0,0,0,7,short
short-heldout-code-256,heldout,code,256,201,resident_seed_batch,existing_cost_gate,32,16,7,5,35,16,182.4569415699413,56.516563991449104,205.6782727264973,13.862584829743817,458.51436311763155,14.328573847425986,69.79061633406329,2.158398274332285e-05,9,0,0,0,0,7,short
short-heldout-code-256,heldout,code,256,201,resident_seed_batch,fixed_1,32,20,19,7,19,12,400.58102874770117,75.47420801001843,231.71244949114978,0.0,707.7676862488693,22.117740195277165,45.21257556924968,1.3499986380338669e-05,1,19,0,0,0,0,short
short-heldout-code-256,heldout,code,256,201,resident_seed_batch,fixed_2,32,14,13,5,26,18,283.52468905532317,65.14438309515837,211.8121640318217,5.816259352279371,566.2974955345826,17.696796735455706,56.50740159073479,9.207986295223236e-06,1,0,13,0,0,0,short
short-heldout-code-256,heldout,code,256,201,resident_seed_batch,fixed_3,32,12,11,6,33,20,22.346815887293644,67.77246110921962,283.7778339441788,17.026981932532934,390.9240928732249,12.216377902288277,81.85732366814617,7.915950845927e-06,1,0,0,11,0,0,short
short-heldout-code-256,heldout,code,256,201,resident_seed_batch,fixed_4,32,10,9,6,35,22,22.346815887293644,63.43568340219859,247.71106467329994,17.22045335445444,350.71401731724666,10.959813041163958,91.242432352094,6.4159976318478584e-06,1,0,0,1,8,0,short
short-heldout-code-256,heldout,code,256,201,resident_seed_batch,fixed_5,32,9,9,5,42,23,22.265135331170153,69.58705604651792,256.69115050964183,13.862584829743817,362.4059267170737,11.325185209908554,88.29877670566366,5.915993824601173e-06,0,0,1,0,0,8,short
short-heldout-code-256,heldout,code,256,201,resident_seed_batch,h1,32,19,9,8,35,13,242.5843182146652,63.14867142146018,221.96909409813128,19.597444010477233,547.299527744734,17.103110242022936,58.468897519175506,3.0459021218121052e-05,10,1,1,1,1,5,short
short-heldout-code-256,heldout,code,256,201,resident_seed_batch,h2,32,31,3,3,13,1,572.9418883040187,21.446900998763333,81.24495249693766,8.246121664359242,683.8798634640791,21.371245733252472,46.791844166765415,4.712503869086504e-05,28,0,0,1,0,2,short
short-heldout-code-256,heldout,code,256,202,resident_seed_batch,ordinary,32,32,0,0,0,0,639.9419380177991,0.0,0.0,0.0,639.9419380177991,19.99818556305622,50.00453650391946,1.695897663012147e-05,32,0,0,0,0,0,short
short-heldout-code-256,heldout,code,256,202,resident_seed_batch,default,32,15,7,6,35,17,163.71485860485012,55.22728612923602,200.9010282391259,16.497585946610695,436.3407589198228,13.635648716244463,73.33717821644062,2.0292005501687527e-05,8,0,0,0,0,7,short
short-heldout-code-256,heldout,code,256,202,resident_seed_batch,existing_cost_gate,32,15,7,6,35,17,163.71485860485012,55.22728612923602,200.9010282391259,16.497585946610695,436.3407589198228,13.635648716244463,73.33717821644062,2.058397512882948e-05,8,0,0,0,0,7,short
short-heldout-code-256,heldout,code,256,202,resident_seed_batch,fixed_1,32,18,17,3,17,14,364.1032363143709,68.5603093116798,269.0404819435105,0.0,701.7040275695612,21.928250861548786,45.603272523368524,1.1583033483475447e-05,1,17,0,0,0,0,short
short-heldout-code-256,heldout,code,256,202,resident_seed_batch,fixed_2,32,15,14,7,27,17,296.18266183288443,67.65064212432569,203.34373384643783,8.131549365153827,575.3085871688018,17.978393349025055,55.62232289540093,9.707990102469921e-06,1,1,13,0,0,0,short
short-heldout-code-256,heldout,code,256,202,resident_seed_batch,fixed_3,32,13,12,8,34,19,42.73521010041316,67.96166637478082,266.1282615213745,18.756899204934452,395.58203720150294,12.361938662546967,80.89346075059453,8.375034667551517e-06,1,1,0,11,0,0,short
short-heldout-code-256,heldout,code,256,202,resident_seed_batch,fixed_4,32,13,12,10,44,19,42.73521010041316,78.14242003838753,287.5780614966296,24.15128620428603,432.6069778397163,13.518968057491135,73.97014296855889,1.0083022061735392e-05,1,1,0,1,10,0,short
short-heldout-code-256,heldout,code,256,202,resident_seed_batch,fixed_5,32,12,11,10,48,20,42.73521010041316,79.79874192287927,279.33438891120744,24.56127504051888,426.4296159750188,13.325925499219338,75.04169223057582,7.6669966802001e-06,1,1,0,1,1,8,short
short-heldout-code-256,heldout,code,256,202,resident_seed_batch,h1,32,18,9,6,31,14,223.10983778892478,57.26344762762896,205.2507440945006,13.499420352849835,499.1234498639041,15.597607808247004,64.11239545792816,2.9208953492343426e-05,9,1,1,1,5,1,short
short-heldout-code-256,heldout,code,256,202,resident_seed_batch,h2,32,18,9,6,29,14,182.20183544433593,55.056590068592364,225.68205662479681,16.41864090358263,479.3591230413078,14.979972595040868,66.7557963578018,2.7709000278264284e-05,9,0,0,8,0,1,short
short-heldout-code-256,heldout,code,256,203,resident_seed_batch,ordinary,32,32,0,0,0,0,633.4751909350309,0.0,0.0,0.0,633.4751909350309,19.796099716719716,50.515001152242306,2.0875013433396816e-05,32,0,0,0,0,0,short
short-heldout-code-256,heldout,code,256,203,resident_seed_batch,default,32,13,5,3,25,19,158.17906890534243,42.560509223576766,154.77113339875967,9.288957397912105,364.799668925591,11.399989653924719,87.71937785537605,2.1874962840229273e-05,8,0,0,0,0,5,short
short-heldout-code-256,heldout,code,256,203,resident_seed_batch,existing_cost_gate,32,13,5,3,25,19,158.17906890534243,42.560509223576766,154.77113339875967,9.288957397912105,364.799668925591,11.399989653924719,87.71937785537605,1.7167010810226202e-05,8,0,0,0,0,5,short
short-heldout-code-256,heldout,code,256,203,resident_seed_batch,fixed_1,32,17,17,2,17,15,338.96960617182117,67.6472273758369,284.6474821394652,0.0,691.2643156871233,21.602009865222602,46.291988858403165,1.2375006917864084e-05,0,17,0,0,0,0,short
short-heldout-code-256,heldout,code,256,203,resident_seed_batch,fixed_2,32,13,13,4,25,19,254.2212195588076,62.31630797098308,227.85328215670785,5.239774607438903,549.6305842939374,17.175955759185545,58.2209231335036,9.041978046298027e-06,0,1,12,0,0,0,short
short-heldout-code-256,heldout,code,256,203,resident_seed_batch,fixed_3,32,12,12,6,33,20,40.85541975927852,67.26072145637745,264.60623023853,12.654491263633536,385.37686271781945,12.043026959931858,83.03560253805645,7.916998583823442e-06,0,1,1,10,0,0,short
short-heldout-code-256,heldout,code,256,203,resident_seed_batch,fixed_4,32,8,8,3,31,24,0.0,57.348007750144525,224.32472901150993,8.612928762877791,290.2856655245322,9.071427047641631,110.23623898953998,5.542009603232145e-06,0,0,0,1,7,0,short
short-heldout-code-256,heldout,code,256,203,resident_seed_batch,fixed_5,32,9,9,6,38,23,40.85541975927852,65.96924307428344,228.20362384559817,14.305986110036272,349.33427278919635,10.916696024662386,91.60280708932962,5.916983354836702e-06,0,1,1,0,0,7,short
short-heldout-code-256,heldout,code,256,203,resident_seed_batch,h1,32,17,8,4,25,15,218.052772917788,49.10235868925641,199.01206209021944,10.843208696994886,477.01040239425873,14.906575074820585,67.08449090288676,2.9166985768824816e-05,9,1,1,3,2,1,short
short-heldout-code-256,heldout,code,256,203,resident_seed_batch,h2,32,15,6,2,24,17,177.7060685999919,42.198006690436884,163.89618144459024,5.333907624213605,389.13416435923267,12.160442636226021,82.23384871048977,2.4124979972839355e-05,9,0,0,3,0,3,short
short-heldout-code-256,heldout,code,256,204,resident_seed_batch,ordinary,32,32,0,0,0,0,650.7378209035528,0.0,0.0,0.0,650.7378209035528,20.335556903236025,49.174950298059876,1.7666956409811974e-05,32,0,0,0,0,0,short
short-heldout-code-256,heldout,code,256,204,resident_seed_batch,default,32,14,5,3,25,18,174.82079830869984,41.35761682742935,150.34570076719157,8.405243667926264,374.92935957124706,11.71654248660147,85.34941098396192,1.7250014934688807e-05,9,0,0,0,0,5,short
short-heldout-code-256,heldout,code,256,204,resident_seed_batch,existing_cost_gate,32,14,5,3,25,18,174.82079830869984,41.35761682742935,150.34570076719157,8.405243667926264,374.92935957124706,11.71654248660147,85.34941098396192,1.7207989003509283e-05,9,0,0,0,0,5,short
