case,split,domain,initial_context,seed,mode,policy,committed,cycles,draft_cycles,rejections,proposed,accepted,target_ms,draft_ms,verify_ms,recovery_ms,total_ms,ms_per_token,simulated_tps,host_simulator_seconds,depth_0_cycles,depth_1_cycles,depth_2_cycles,depth_3_cycles,depth_4_cycles,depth_5_cycles,stress
stable_easy-heldout-code-256,heldout,code,256,200,resident_seed_batch,ordinary,256,256,0,0,0,0,5188.310300064347,0.0,0.0,0.0,5188.310300064347,20.266837109626355,49.341690298829086,0.00012112502008676529,256,0,0,0,0,0,stable_easy
stable_easy-heldout-code-256,heldout,code,256,200,resident_seed_batch,default,256,57,50,13,245,199,154.57570808581008,395.440469465558,1461.4749932307486,33.04510915454161,2044.5362799366583,7.986469843502571,125.21176685010018,8.116604294627905e-05,7,0,0,0,0,50,stable_easy
stable_easy-heldout-code-256,heldout,code,256,200,resident_seed_batch,existing_cost_gate,256,60,49,13,240,196,231.60408004756266,388.3563870529228,1434.5700354711403,32.72976939791636,2087.2602719695424,8.153360437381025,122.64881550130687,8.166703628376126e-05,11,0,0,0,0,49,stable_easy
stable_easy-heldout-code-256,heldout,code,256,200,resident_seed_batch,fixed_1,256,133,133,10,130,123,2710.609978035942,532.339414552248,2447.0324104992205,0.0,5689.981803087414,22.22649141831021,44.991356538450276,5.9582991525530815e-05,0,133,0,0,0,0,stable_easy
stable_easy-heldout-code-256,heldout,code,256,200,resident_seed_batch,fixed_2,256,92,91,12,180,164,1856.9779224313145,450.879083409288,1851.61243634512,16.93240992787339,4176.401852113596,16.314069734818734,61.296783466955745,4.137499490752816e-05,1,0,91,0,0,0,stable_easy
stable_easy-heldout-code-256,heldout,code,256,200,resident_seed_batch,fixed_3,256,74,73,15,216,182,39.50635016947436,438.8700448520158,1880.6190384535653,39.97667926047972,2398.972112735536,9.370984815373188,106.71237011925264,3.2957992516458035e-05,1,0,0,73,0,0,stable_easy
stable_easy-heldout-code-256,heldout,code,256,200,resident_seed_batch,fixed_4,256,61,61,16,240,195,19.94459553337482,414.07601058644696,1634.981204456565,40.88339795532557,2109.885208531712,8.241739095827,121.3336151961332,2.7500034775584936e-05,0,0,0,0,61,0,stable_easy
stable_easy-heldout-code-256,heldout,code,256,200,resident_seed_batch,fixed_5,256,52,52,15,253,204,18.155152030415874,409.90544320981326,1520.1724358531867,38.81892283656074,1987.051953929977,7.761921695038972,128.83407476774076,2.1208019461482763e-05,0,0,0,1,0,51,stable_easy
stable_easy-heldout-code-256,heldout,code,256,200,resident_seed_batch,h1,256,68,57,12,214,188,324.88366560829763,382.011174713771,1548.5397730752975,33.726481880618834,2289.1610952779847,8.942035528429628,111.83136063602925,7.445801747962832e-05,11,3,2,3,47,2,stable_easy
stable_easy-heldout-code-256,heldout,code,256,200,resident_seed_batch,h2,256,63,49,13,235,193,287.03509829308433,379.40922053827785,1446.8822170190062,35.5630971696822,2148.8896330200496,8.394100128984569,119.13129276919521,6.687501445412636e-05,14,0,0,5,0,44,stable_easy
