case,split,domain,initial_context,seed,mode,policy,committed,cycles,draft_cycles,rejections,proposed,accepted,target_ms,draft_ms,verify_ms,recovery_ms,total_ms,ms_per_token,simulated_tps,host_simulator_seconds,depth_0_cycles,depth_1_cycles,depth_2_cycles,depth_3_cycles,depth_4_cycles,depth_5_cycles,stress
stable_hard-heldout-code-256,heldout,code,256,200,resident_seed_batch,ordinary,256,256,0,0,0,0,5195.623191347409,0.0,0.0,0.0,5195.623191347409,20.295403091200818,49.27224137930798,0.00011041696416214108,256,0,0,0,0,0,stable_hard
stable_hard-heldout-code-256,heldout,code,256,200,resident_seed_batch,default,256,255,28,28,140,1,4613.870986347419,221.51870978107075,833.4280293287912,77.53154842337476,5746.349273880655,22.44667685109631,44.55002433695032,0.0002850419841706753,227,0,0,0,0,28,stable_hard
stable_hard-heldout-code-256,heldout,code,256,200,resident_seed_batch,existing_cost_gate,256,249,44,44,215,7,4189.1904014887605,349.3661364391116,1281.9089960640868,119.58038736139746,5940.045921353356,23.203304380286546,43.09730991804757,0.0002876250073313713,205,0,0,0,0,44,stable_hard
stable_hard-heldout-code-256,heldout,code,256,200,resident_seed_batch,fixed_1,256,235,234,213,233,21,4773.893560023741,933.132508049414,421.3888410947268,0.0,6128.414909167881,23.939120738937035,41.77262861511441,0.00011087500024586916,1,234,0,0,0,0,stable_hard
stable_hard-heldout-code-256,heldout,code,256,200,resident_seed_batch,fixed_2,256,234,233,231,463,22,4756.442130694958,1161.2448767959147,443.96943069160665,51.29324760943222,6412.949685791903,25.05058471012462,39.919227897136984,0.00012024998432025313,1,1,232,0,0,0,stable_hard
stable_hard-heldout-code-256,heldout,code,256,200,resident_seed_batch,fixed_3,256,234,233,233,693,22,79.76745001350305,1391.755203708525,5988.739783380221,642.7311549630177,8102.993592065273,31.652318719004974,31.593262056961752,0.00012512499233707786,1,1,1,231,0,0,stable_hard
stable_hard-heldout-code-256,heldout,code,256,200,resident_seed_batch,fixed_4,256,234,233,233,922,22,79.76745001350305,1621.254249470657,6465.642194770246,642.7311549630177,8809.395049217419,34.41169941100554,29.05988419973761,0.00014962500426918268,1,1,1,1,230,0,stable_hard
stable_hard-heldout-code-256,heldout,code,256,200,resident_seed_batch,fixed_5,256,234,233,233,1150,22,79.76745001350305,1849.7825123192242,6940.436471428929,642.7311549630177,9512.717588724669,37.15905308095574,26.911342380586838,0.00018066598568111658,1,1,1,1,1,229,stable_hard
stable_hard-heldout-code-256,heldout,code,256,200,resident_seed_batch,h1,256,255,12,12,33,1,5051.136089401862,68.2195476540282,191.30805594040052,19.92035028252279,5330.584043278812,20.82259391905786,48.02475637219967,0.0003489580121822655,243,3,3,2,2,2,stable_hard
stable_hard-heldout-code-256,heldout,code,256,200,resident_seed_batch,h2,256,255,9,9,35,1,4993.465966910119,61.45028441148412,247.04058033893637,24.959073298902624,5326.915904959442,20.80826525374782,48.05782643605468,0.0002553749945946038,246,0,0,5,0,4,stable_hard
