case,split,domain,initial_context,seed,mode,policy,committed,cycles,draft_cycles,rejections,proposed,accepted,target_ms,draft_ms,verify_ms,recovery_ms,total_ms,ms_per_token,simulated_tps,host_simulator_seconds,depth_0_cycles,depth_1_cycles,depth_2_cycles,depth_3_cycles,depth_4_cycles,depth_5_cycles
tune-code-256,tune,code,256,0,resident_seed_batch,ordinary,256,256,0,0,0,0,5200.584414076657,0.0,0.0,0.0,5200.584414076657,20.31478286748694,49.22523693819357,0.0003523749765008688,256,0,0,0,0,0
tune-code-256,tune,code,256,0,resident_seed_batch,default,256,70,61,38,305,186,182.48042905985835,423.82287802759697,1702.9253034016742,75.88430991607324,2385.1129204052036,9.316847345332826,107.33244443475175,0.00020595797104761004,9,0,0,0,0,61
tune-code-256,tune,code,256,0,resident_seed_batch,existing_cost_gate,256,70,61,38,305,186,182.48042905985835,423.82287802759697,1702.9253034016742,75.88430991607324,2385.1129204052036,9.316847345332826,107.33244443475175,0.00016745796892791986,9,0,0,0,0,61
tune-code-256,tune,code,256,0,resident_seed_batch,fixed_1,256,136,136,16,134,120,2773.896646505062,449.3258749079491,2269.107233130443,0.0,5492.329754543453,21.454413103685365,46.61045702658832,0.00018350000027567148,0,136,0,0,0,0
tune-code-256,tune,code,256,0,resident_seed_batch,fixed_2,256,98,98,24,195,158,2026.0654235651182,416.6751903041658,1775.9611190252622,22.15329311043256,4240.855026004979,16.56583994533195,60.3651854237423,0.00011495902435854077,0,1,97,0,0,0
tune-code-256,tune,code,256,0,resident_seed_batch,fixed_3,256,76,76,23,223,180,38.31221652458202,390.46722185159643,1836.6097631453533,44.59446867834426,2309.9836701998756,9.023373711718264,110.8232942520538,0.00010566599667072296,0,1,0,75,0,0
tune-code-256,tune,code,256,0,resident_seed_batch,fixed_4,256,73,73,39,280,183,56.47455058427597,432.1451985463071,1833.0470410348446,74.21430740520755,2395.8810975706356,9.358910537385295,106.85004371025661,0.00010208401363343,0,1,0,1,71,0
tune-code-256,tune,code,256,0,resident_seed_batch,fixed_5,256,65,65,41,319,191,20.287073788785733,446.60601398940844,1808.257529785387,82.13552108947333,2357.286138653055,9.208148979113496,108.59945926898696,8.779199561104178e-05,0,1,0,1,0,63
tune-code-256,tune,code,256,0,resident_seed_batch,candidate,256,86,74,26,229,170,380.9898800330388,393.13498900412367,1775.9067217842537,48.297754901345925,2598.329345722763,10.149724006729542,98.52484652163673,0.000208082958124578,12,3,2,50,17,2
tune-code-256,tune,code,256,1,resident_seed_batch,ordinary,256,256,0,0,0,0,5216.562232860747,0.0,0.0,0.0,5216.562232860747,20.377196222112293,49.07446486258257,0.00015716697089374065,256,0,0,0,0,0
tune-code-256,tune,code,256,1,resident_seed_batch,default,256,67,59,35,290,189,182.8706541063609,410.09336931897764,1619.6328935538356,68.51639921702079,2281.1133161961952,8.910598891391388,112.22590223044483,0.00012808304745703936,8,0,0,0,0,59
tune-code-256,tune,code,256,1,resident_seed_batch,existing_cost_gate,256,67,59,35,290,189,182.8706541063609,410.09336931897764,1619.6328935538356,68.51639921702079,2281.1133161961952,8.910598891391388,112.22590223044483,0.0001239590346813202,8,0,0,0,0,59
tune-code-256,tune,code,256,1,resident_seed_batch,fixed_1,256,134,134,12,132,122,2729.1618859783093,442.0754691361355,2303.0589701154126,0.0,5474.296325229858,21.383970020429132,46.76400121421102,7.437501335516572e-05,0,134,0,0,0,0
tune-code-256,tune,code,256,1,resident_seed_batch,fixed_2,256,99,99,27,193,157,2029.746867371298,417.5524621222215,1784.2827361707373,28.722090519834353,4260.304156184089,16.6418131100941,60.089606425963865,5.4333009757101536e-05,0,1,98,0,0,0
tune-code-256,tune,code,256,1,resident_seed_batch,fixed_3,256,77,77,25,223,179,61.96174307671508,391.46188305863654,1813.5988741340254,46.64011008403753,2313.662610353415,9.037744571693027,110.64707483901279,4.3791020289063454e-05,0,1,0,76,0,0
tune-code-256,tune,code,256,1,resident_seed_batch,fixed_4,256,64,64,29,252,192,21.49336462356146,380.61151253450686,1654.4131752067385,57.41581830686832,2113.933870671675,8.25755418231123,121.10123384259856,3.591598942875862e-05,0,1,0,1,62,0
tune-code-256,tune,code,256,1,resident_seed_batch,fixed_5,256,64,64,39,308,192,40.855222581236156,437.00308439310896,1742.0886831485209,76.3449050443648,2296.291895167231,8.969890215496996,111.48408464044873,3.366597229614854e-05,0,1,0,1,1,61
tune-code-256,tune,code,256,1,resident_seed_batch,candidate,256,74,62,26,235,182,351.2858187986171,363.8642677392329,1571.7519002013303,49.925473965977694,2336.8274607051576,9.128232268379522,109.55023608065177,0.0001027500256896019,12,3,2,2,53,2
tune-code-256,tune,code,256,2,resident_seed_batch,ordinary,256,256,0,0,0,0,5241.747930662466,0.0,0.0,0.0,5241.747930662466,20.47557785415026,48.83867049433757,0.00013237498933449388,256,0,0,0,0,0
tune-code-256,tune,code,256,2,resident_seed_batch,default,256,95,49,27,235,161,994.4951050192012,337.8311305390146,1300.6830281425541,49.88096352164564,2682.8902272224163,10.480039950087564,95.41948358619041,0.00014183297753334045,46,0,0,0,0,49
tune-code-256,tune,code,256,2,resident_seed_batch,existing_cost_gate,256,85,56,35,265,171,650.6192853210164,388.82321014159845,1475.4678457364864,64.51102101055433,2579.4213622096563,10.07586469613147,99.24706515599999,0.00012679101200774312,29,0,0,0,0,56
tune-code-256,tune,code,256,2,resident_seed_batch,fixed_1,256,137,136,17,132,119,2759.821348515151,444.07651611025375,2213.359536125695,0.0,5417.257400751099,21.161161721683982,47.256384746367374,6.754201604053378e-05,1,136,0,0,0,0
tune-code-256,tune,code,256,2,resident_seed_batch,fixed_2,256,99,98,26,186,157,2003.9279671850873,409.2871885104632,1738.4687183083017,27.029245881411303,4178.713119885265,16.323098124551816,61.26287989997959,4.837499000132084e-05,1,0,98,0,0,0
tune-code-256,tune,code,256,2,resident_seed_batch,fixed_3,256,78,78,27,220,178,107.11052837248738,393.9774120517028,1770.5856555450962,46.77008154696248,2318.4436775162494,9.05642061529785,110.41889974840925,3.645900869742036e-05,0,1,0,77,0,0
tune-code-256,tune,code,256,2,resident_seed_batch,fixed_4,256,68,67,32,262,188,60.54952779292812,402.6109734004891,1718.387157434811,63.37506871470344,2244.922727342931,8.769229403683324,114.03510547688167,3.2167008612304926e-05,1,0,1,0,66,0
tune-code-256,tune,code,256,2,resident_seed_batch,fixed_5,256,61,60,33,287,195,81.44904163240352,413.0311970748856,1605.8121108393789,62.32838952056991,2162.620739067237,8.447737261981395,118.37489365352877,2.6209047064185143e-05,1,0,1,0,0,59
tune-code-256,tune,code,256,2,resident_seed_batch,candidate,256,90,78,31,224,166,410.1988100329791,398.9633055606665,1762.182715183852,52.35779434447715,2623.702625121974,10.248838379382711,97.5720333351798,0.00010624999413266778,12,3,2,67,4,2
tune-code-256,tune,code,256,3,resident_seed_batch,ordinary,256,256,0,0,0,0,5226.134542820738,0.0,0.0,0.0,5226.134542820738,20.414588057893507,48.98457892778002,0.0001355419517494738,256,0,0,0,0,0
tune-code-256,tune,code,256,3,resident_seed_batch,default,256,69,59,35,290,187,223.57967753138684,406.2838225969158,1606.2131912925513,68.2818921953612,2304.358583616214,9.001400717250837,111.09382099649653,0.00010324997128918767,10,0,0,0,0,59
tune-code-256,tune,code,256,3,resident_seed_batch,existing_cost_gate,256,69,59,35,290,187,223.57967753138684,406.2838225969158,1606.2131912925513,68.2818921953612,2304.358583616214,9.001400717250837,111.09382099649653,0.00010541698429733515,10,0,0,0,0,59
tune-code-256,tune,code,256,3,resident_seed_batch,fixed_1,256,133,133,10,130,123,2710.8828619726937,439.15221424322124,2325.1122122784154,0.0,5475.147288494328,21.387294095680968,46.75673301756971,6.612500874325633e-05,0,133,0,0,0,0
tune-code-256,tune,code,256,3,resident_seed_batch,fixed_2,256,97,97,25,192,159,1985.080785190642,409.27133579191633,1807.7245155631142,29.5386895993523,4231.615326145026,16.52974736775401,60.49699234670612,5.4541975259780884e-05,0,0,97,0,0,0
tune-code-256,tune,code,256,3,resident_seed_batch,fixed_3,256,78,78,27,223,178,81.23160351897131,399.19545877653195,1823.5025754676217,47.86491456058804,2351.7945523237136,9.186697470014506,108.85304575055534,3.68330511264503e-05,0,1,0,77,0,0
