decay,probe_tokens,margin,context_buckets,action_mask,mean_time_ratio,worst_case_mean_ratio,geomean_speedup_vs_default,selection_score
0.5,16,0.03,True,63,0.8298199181045246,1.0685367934550747,0.993260415495398,0.8483567115595992
0.5,16,0.03,True,41,0.812763767442694,1.0781428345821988,1.019522048183814,0.8409066020248928
0.5,16,0.03,True,33,0.8165385420117609,1.0862077763595628,1.013707835059208,0.8527463183713236
0.5,32,0.03,True,63,0.8170309841368616,1.0372248482343422,1.0093108750727837,0.8170309841368616
0.5,32,0.03,True,41,0.8025888617881448,1.0405912743253731,1.0315375848648356,0.8025888617881448
0.5,32,0.03,True,33,0.8137203435763369,1.0429410789946492,1.01291951641039,0.8137203435763369
0.5,64,0.03,True,63,0.8553542015569721,1.024619520820505,0.963547559301712,0.8553542015569721
0.5,64,0.03,True,41,0.8072432779678702,1.022479786303237,1.024618546610588,0.8072432779678702
0.5,64,0.03,True,33,0.8183088763136155,1.0212488350254738,1.005398476053021,0.8183088763136155
0.8,16,0.03,True,63,0.8266935895445584,1.0682113702190783,0.9987435876182156,0.8449049597636367
0.8,16,0.03,True,41,0.8075104808140002,1.0761711809621968,1.027234799688271,0.833681661776197
0.8,16,0.03,True,33,0.809666680773322,1.0841919019028852,1.0238419497954996,0.8438585826762072
0.8,32,0.03,True,63,0.8124945916780069,1.0373407225312152,1.0163318986725842,0.8124945916780069
0.8,32,0.03,True,41,0.8000133003304554,1.0404390474158367,1.034883196171651,0.8000133003304554
0.8,32,0.03,True,33,0.8014676581186094,1.0416348305705476,1.0324089816232018,0.8014676581186094
0.8,64,0.03,True,63,0.8418120052564119,1.0240123751290302,0.9818708218799385,0.8418120052564119
0.8,64,0.03,True,41,0.800732449561897,1.022559607865376,1.0344548812210976,0.800732449561897
0.8,64,0.03,True,33,0.804723543326163,1.0213257417855055,1.027507586583048,0.804723543326163
0.95,16,0.03,True,63,0.8273713663752018,1.0679536375904546,0.997632564219787,0.8453250039656564
0.95,16,0.03,True,41,0.8092831640547415,1.0750521657914387,1.025049263738761,0.8343353298461802
0.95,16,0.03,True,33,0.8132600128819053,1.0823806687216735,1.0191065277222615,0.8456406816035787
0.95,32,0.03,True,63,0.8119437098953814,1.0377691683048862,1.0168188664830087,0.8119437098953814
0.95,32,0.03,True,41,0.7992922299990532,1.0401901032595167,1.0363596256638175,0.7992922299990532
0.95,32,0.03,True,33,0.8047352831339248,1.0414667610979669,1.0282783378548455,0.8047352831339248
0.95,64,0.03,True,63,0.8434545649521279,1.024212987738329,0.9804234250535361,0.8434545649521279
0.95,64,0.03,True,41,0.8006480934479279,1.022897776955551,1.0337877072228563,0.8006480934479279
0.95,64,0.03,True,33,0.8045277405810116,1.021522956662549,1.0277934704545935,0.8045277405810116
